Time;Q_ChauDoc;Q_TanChau;Q_VamNao;Q_CanTho;Q_MyThuan
2011-07-01 00:00:00;2710;12100;4890;14300;14400
2011-07-01 01:00:00;2730;11900;4940;10400;13400
2011-07-01 02:00:00;2820;12200;5010;4920;6640
2011-07-01 03:00:00;2830;12200;4860;-2510;-2510
2011-07-01 04:00:00;2860;12200;4260;-6360;-4790
2011-07-01 05:00:00;2860;12300;3690;-8020;-6790
2011-07-01 06:00:00;2110;10800;3030;-6290;-4900
2011-07-01 07:00:00;770;8770;2150;-4420;-2450
2011-07-01 08:00:00;-139;7670;2170;1550;2080
2011-07-01 09:00:00;-605;7770;2700;7310;6330
2011-07-01 10:00:00;605;8950;3450;11000;9630
2011-07-01 11:00:00;1390;10200;4030;11600;11400
2011-07-01 12:00:00;2290;11000;4430;7730;11500
2011-07-01 13:00:00;2550;11400;4680;4850;8210
2011-07-01 14:00:00;2760;11700;4520;1350;2780
2011-07-01 15:00:00;2630;11800;4330;-3610;704
2011-07-01 16:00:00;2360;11100;3400;-3090;704
2011-07-01 17:00:00;1600;10500;2750;340;3330
2011-07-01 18:00:00;930;9630;2770;7340;7400
2011-07-01 19:00:00;884;9870;3350;11700;11800
2011-07-01 20:00:00;1670;10600;3830;14800;14200
2011-07-01 21:00:00;2130;11500;4470;15300;15100
2011-07-01 22:00:00;2520;12300;4800;16200;16000
2011-07-01 23:00:00;2920;12200;4890;16600;15200
2011-07-02 00:00:00;2990;12600;5100;16200;14900
2011-07-02 01:00:00;3100;12800;5240;15400;14200
2011-07-02 02:00:00;3160;13000;5320;13900;13100
2011-07-02 03:00:00;3290;13200;5270;6990;4890
2011-07-02 04:00:00;3260;13000;5170;-3890;-3740
2011-07-02 05:00:00;3210;12900;4930;-9190;-4840
2011-07-02 06:00:00;3120;12600;3710;-9250;-5280
2011-07-02 07:00:00;2200;11300;2790;-7010;-3170
2011-07-02 08:00:00;1060;9880;2580;-1690;-348
2011-07-02 09:00:00;281;9430;2800;5510;5160
2011-07-02 10:00:00;661;10300;3450;11300;9860
2011-07-02 11:00:00;1550;11300;4380;13400;12000
2011-07-02 12:00:00;2770;12600;4820;13000;12900
2011-07-02 13:00:00;2770;12900;5060;9950;9910
2011-07-02 14:00:00;2850;13300;5090;4270;9290
2011-07-02 15:00:00;3100;13100;4800;1350;700
2011-07-02 16:00:00;2870;13300;4470;-2660;-3190
2011-07-02 17:00:00;2560;13000;3730;-1280;-352
2011-07-02 18:00:00;2080;12300;3410;3060;4520
2011-07-02 19:00:00;1630;11800;3450;9210;9290
2011-07-02 20:00:00;1590;11900;3930;13500;11700
2011-07-02 21:00:00;2020;12800;4740;15300;13300
2011-07-02 22:00:00;2510;13200;5190;15400;14600
2011-07-02 23:00:00;2730;13400;5480;15400;16000
2011-07-03 00:00:00;2850;13900;5620;16300;16300
2011-07-03 01:00:00;3060;14200;5820;15600;15800
2011-07-03 02:00:00;3130;14900;5900;14300;14600
2011-07-03 03:00:00;3260;14900;5910;12200;12500
2011-07-03 04:00:00;3370;14600;5930;2310;3360
2011-07-03 05:00:00;3410;15000;5740;-5610;688
2011-07-03 06:00:00;3340;14800;5080;-9770;-5980
2011-07-03 07:00:00;3230;13600;4280;-8310;-4430
2011-07-03 08:00:00;2110;12200;3480;-3920;-352
2011-07-03 09:00:00;1080;11700;3140;3300;4520
2011-07-03 10:00:00;1050;11600;3800;10700;9980
2011-07-03 11:00:00;1950;12700;4550;13800;12900
2011-07-03 12:00:00;2490;13600;5090;14700;13600
