nhanh;chainage;type;sub;loai;nhan;file_dfs0;item;cot_obs;nguon;co_so_lieu
An Binh AG;10866.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Rach Gia;H_RachGia;H;yes
Ba Hon;7479.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Rach Gia;H_RachGia;H;yes
Ba Lai;43085.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vam kenh;H_VamKenh;H;yes
Bay Hap;49569.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
Branch1016;16058.0;0;5;bien_mo;Ganh hao;H_boudary_2011.dfs0;Ganh hao;H_GanhHao;H;yes
CHUVANG2;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
CM11;34395.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
CM42_43;20882.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
Ca Mau11;10776.0;0;5;bien_mo;Ganh hao;H_boudary_2011.dfs0;Ganh hao;H_GanhHao;H;yes
Cai Be;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Cai Lon;0.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Cai San;60505.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Rach Gia;H_RachGia;H;yes
Cau So 2;2980.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Cau So 3;3299.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
Cau So 9;10530.0;0;5;bien_mo;Rach Gia;H_boudary_2011.dfs0;Xeo ro;H_XeoRo;H;yes
CongNghiep;7094.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
CuaCoChien;30881.0;0;5;bien_mo;Ben Trai;H_boudary_2011.dfs0;Ben Trai;H_BenTrai;H;yes
CuaCungHau;28474.0;0;5;bien_mo;Ben Trai;H_boudary_2011.dfs0;Ben Trai;H_BenTrai;H;yes
CuaDai;39585.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vam kenh;H_VamKenh;H;yes
CuaDinhAn;33878.0;0;5;bien_mo;My Thanh;H_boudary_2011.dfs0;My Thanh;;;no
CuaTieu;37961.0;0;5;bien_mo;Vam Kenh;H_boudary_2011.dfs0;Vam kenh;H_VamKenh;H;yes
CuaTranDe;34530.0;0;5;bien_mo;My Thanh;H_boudary_2011.dfs0;My Thanh;;;no
Dong Nai;0.0;0;1;bien_mo;0.Tri An;Q_xa_HT.dfs0;trian;;;no
GO12_170;16146.0;0;5;bien_mo;Ganh hao;H_boudary_2011.dfs0;Ganh hao;H_GanhHao;H;yes
GO13_33;17483.0;0;5;bien_mo;Song Doc;H_boudary_2011.dfs0;Song Doc;H_SongDoc;H;yes
