pre;num;n_mat_cat;hau_to;n_suf_nhanh;nhanh_mike;n_nhanh_mike;khop;d_max
CC;1;1;;1;CoChien;1;OK;48.2
CC;2;1;;1;CoChien;1;OK;17.0
CC;3;1;;1;CoChien;1;OK;12.5
CC;4;2;,P;2;CoChien,CoChien_1;2;OK;28.1
CC;5;1;;1;CoChien;1;OK;136.5
CC;6;2;,P;2;CoChien,CoChien_2;2;OK;61.1
CC;7;2;,P;2;CoChien,CoChien_3;2;OK;50.7
CC;8;2;,P;2;CoChien,CoChien_3;2;OK;50.9
CC;9;2;,P;2;CoChien,CoChien_3;2;OK;57.2
CC;10;1;;1;CoChien;1;OK;30.8
CC;11;1;;1;CoChien;1;OK;307.9
CC;12;2;,P;2;CoChien,CoChien_4;2;OK;29.0
CC;13;1;;1;CoChien;1;OK;203.9
CC;14;2;,P;2;CuaCoChien,CuaCungHau;2;OK;67.4
CC;15;2;,P;2;CuaCoChien,CuaCungHau;2;OK;50.5
CC;16;2;,P;2;CuaCoChien,CuaCungHau;2;OK;38.5
CC;17;1;;1;CuaCoChien;1;OK;113.9
CC;18;2;,P;2;CuaCoChien,CuaCungHau;2;OK;137.7
CC;19;2;,P;2;CuaCoChien,CuaCungHau;2;OK;268.7
HL;1;1;;1;Ham Luong;1;OK;13.8
HL;2;3;,P1,P2;3;Ham Luong,HamLuong_1,HamLuong_2;3;OK;35.9
HL;3;1;;1;Ham Luong;1;OK;70.7
HL;4;1;;1;Ham Luong;1;OK;80.9
HL;5;1;;1;Ham Luong;1;OK;22.0
HL;6;1;;1;Ham Luong;1;OK;8.1
HL;7;3;,P1,P2;3;Ham Luong,HamLuong_3,HamLuong_4;3;OK;36.1
HL;8;2;,P;2;Ham Luong,HamLuong_4;2;OK;34.0
HL;9;3;,P1,P2;3;Ham Luong,HamLuong_4,HamLuong_5;3;OK;48.1
HL;10;2;,P;2;Ham Luong,HamLuong_5;2;OK;19.7
HL;11;1;;1;Ham Luong;1;OK;7.3
HL;12;1;;1;Ham Luong;1;OK;105.2
HL;13;2;,P;2;Ham Luong,HamLuong_6;2;OK;120.2
HL;14;1;;1;Ham Luong;1;OK;93.4
HL;15;1;;1;Ham Luong;1;OK;13.2
HL;16;1;;1;Ham Luong;1;OK;131.0
SH;1;3;,A,B;1;BASSAC;1;OK;12.7
SH;2;1;;1;BASSAC;1;OK;1.8
SH;3;1;;1;BASSAC;1;OK;12.0
SH;4;1;;1;BASSAC;1;OK;13.2
SH;5;2;,P;2;BASSAC,Hau_1;2;OK;10.6
SH;6;1;;1;BASSAC;1;OK;22.2
SH;7;1;;1;BASSAC;1;OK;3.7
SH;8;1;;1;BASSAC;1;OK;8.0
SH;9;1;;1;BASSAC;1;OK;48.6
SH;10;1;;1;BASSAC;1;OK;5.0
SH;11;1;;1;BASSAC;1;OK;4.7
SH;12;1;;1;BASSAC;1;OK;38.7
SH;13;1;;1;BASSAC;1;OK;117.2
SH;14;1;;1;BASSAC;1;OK;17.2
SH;15;2;,P;2;BASSAC,Hau_2;2;OK;62.3
SH;16;1;;1;BASSAC;1;OK;4.9
SH;17;2;,P;2;BASSAC,Hau_3;2;OK;38.9
SH;18;1;;1;BASSAC;1;OK;14.4
SH;19;1;;1;BASSAC;1;OK;24.4
SH;20;1;;1;BASSAC;1;OK;54.0
SH;21;2;,P;2;BASSAC,Hau_4;2;OK;45.1
SH;22;2;,P;2;BASSAC,Hau_4;2;OK;19.6
SH;23;2;,P;2;BASSAC,Hau_4;2;OK;16.1
SH;24;1;;1;BASSAC;1;OK;39.7
SH;25;1;;1;BASSAC;1;OK;55.3
SH;26;1;;1;BASSAC;1;OK;39.0
SH;27;2;,P;2;BASSAC,Hau_5;2;OK;60.5
SH;28;1;;1;BASSAC;1;OK;40.0
SH;29;2;,P;2;BASSAC,Hau_6;2;OK;55.3
SH;30;1;;1;BASSAC;1;OK;148.9
SH;31;2;,P;2;BASSAC,Hau_7;2;OK;28.1
SH;32;2;,P;2;BASSAC,Hau_7;2;OK;70.0
SH;33;4;,P1,P2,P3;4;BASSAC,Hau_7,Hau_8,Hau_9;4;OK;53.7
SH;34;3;,P2,P3;3;BASSAC,Hau_7,Hau_8;3;OK;134.0
SH;35;1;;1;Hau_7;1;OK;20.0
