ten;pre;num;suf;loai_suf;x_utm;y_utm;co_z;nhanh_mike;ch_mike;d_chieu;rong_sv;rong_tuyen;day_sv;rong_mike;day_mike;topo;lech_rong;lech_day;bief;absc
SWat Lo;;;;chinh;538630.9;1172025.6;no;VamNao;13997.1;403.2;;1762.8;;;;2021_SIWRP_QHPCTT;;;15.0;14015332.1
Sat Lo;;;;chinh;649905.7;1144072.3;no;Tien;178960.6;393.3;;992.9;;;;2021_SIWRP_QHPCTT;;;14.0;13027237.6
Sat Lo;;;;chinh;650327.0;1144272.7;no;Tien_7;1636.6;143.8;;821.4;;320.7;-10.57;2021_SIWRP_QHPCTT;;;;
Sat Lo;;;;chinh;612005.9;1140908.2;no;CaiBe_TG;854.9;305.3;;2035.6;;570.3;-9.25;2021_SIWRP_QHPCTT;;;;
Sat Lo;;;;chinh;574071.7;1151231.6;no;Tien;88612.9;466.3;;1317.3;;;;2021_SIWRP_QHPCTT;;;12.0;11060074.9
Sat Lo;;;;chinh;566628.5;1154078.0;no;Tien_6;1842.2;147.5;;541.9;;387.4;-26.4;2021_SIWRP_QHPCTT;;;;
Sat Lo;;;;chinh;559431.1;1164316.9;no;Tien;65045.8;239.7;;1110.7;;604.4;-32.1;2021_SIWRP_QHPCTT;;;12.0;11036507.8
Sông Bình Ghi;;;;chinh;508677.8;1209465.6;no;SongBinhDi;1645.0;150.5;;;;;;DH2023;;;;
Campuchia;;;;chinh;507946.1;1211797.7;no;BassacCam;82473.0;43.6;;;;;;1998;;;;
Sông Bình Ghi;;;;chinh;508677.8;1209465.6;no;SongBinhDi;1645.0;150.5;;;;;;DH2023;;;;
Sat lo;;;;chinh;618495.5;1079169.1;no;CuaTranDe;1301.1;589.0;;8156.5;;;;2021_SIWRP_QHPCTT;;;9.0;8001301.1
Sat Lo;;;;chinh;633948.0;1064350.6;no;CuaDinhAn;22916.6;1343.2;;5439.4;;2280.0;-10.75;2021_SIWRP_QHPCTT;;;7.0;6026515.6
Sat Lo;;;;chinh;630646.4;1059632.0;no;CuaTranDe;25053.3;858.9;;;;;;2021_SIWRP_QHPCTT;;;9.0;8025053.3
Sat Lo;;;;chinh;637696.1;1061361.2;no;CuaDinhAn;27516.9;1470.8;;2499.1;;2635.6;-12.19;2021_SIWRP_QHPCTT;;;7.0;6031115.9
34P1;;;;chinh;606154.9;1092054.1;no;Hau_10;1820.2;73.3;;847.3;;663.2;-8.64;2021_SIWRP_QHPCTT;;;;
Sat Lo;;;;chinh;514343.8;1185747.4;no;BASSAC;36082.4;159.8;;3806.0;;;;2021_SIWRP_QHPCTT;;;1.0;36381.4
Sat Lo;;;;chinh;545103.9;1151631.2;no;BASSAC;88547.2;338.6;;;;604.3;-19.4;2021_SIWRP_QHPCTT;;;2.0;1019203.2
Sat Lo;;;;chinh;536549.2;1163904.8;no;BASSAC;72613.5;492.6;;2580.6;;;;2021_SIWRP_QHPCTT;;;2.0;1003269.5
Sat Lo;;;;chinh;586485.7;1113260.3;no;BASSAC;146436.0;555.4;;1754.6;;1006.7;-35.55;2021_SIWRP_QHPCTT;;;2.0;1077092.0
Sat Lo;;;;chinh;649326.4;1103395.3;no;CuaCungHau;2616.6;517.2;;1582.1;;852.4;-13.23;2021_SIWRP_QHPCTT;;;5.0;4005654.6
Sat Lo;;;;chinh;616861.7;1132869.8;no;CoChien;16748.9;303.6;;568.8;;582.1;-27.48;2021_SIWRP_QHPCTT;;;3.0;2017663.9
