nhanh;n_survey;n_mike;topo;dai_km;kc_tb_km;trong_luoi;bief;canh_bao
Tien;39;42;2021_SIWRP_QHPCTT;187.6;4.58;yes;11,12,13,14;
BASSAC;38;40;2021_SIWRP_QHPCTT;191.5;4.91;yes;1,2;BO_TOPO={'2006': 123}
Ham Luong;16;33;2021_SIWRP_QHPCTT;70.4;2.2;yes;10;BO_TOPO={'2006': 46}
CoChien;13;13;2021_SIWRP_QHPCTT;59.1;4.93;yes;3;BO_TOPO={'2006': 57}
CuaDai;7;7;2021_SIWRP_QHPCTT;30.7;5.12;yes;6;THUA_KC=5.1km | BO_TOPO={'2006': 28}
CuaDinhAn;7;7;2021_SIWRP_QHPCTT;28.3;4.72;yes;7;
CuaTieu;7;7;2021_SIWRP_QHPCTT;30.4;5.07;yes;8;THUA_KC=5.1km
CuaTranDe;7;9;2021_SIWRP_QHPCTT;34.2;4.27;yes;9;BO_TOPO={'2006': 26}
CuaCoChien;6;6;2021_SIWRP_QHPCTT;24.6;4.92;yes;4;
CuaCungHau;5;6;2021_SIWRP_QHPCTT;23.6;4.73;yes;5;
VamNao;5;6;2021_SIWRP_QHPCTT;21.8;4.35;yes;15;
Hau_7;5;5;2021_SIWRP_QHPCTT;22.7;5.69;no;;THUA_KC=5.7km
CoChien_3;3;5;2021_SIWRP_QHPCTT;17.4;4.35;no;;
HamLuong_4;3;3;2021_SIWRP_QHPCTT;9.1;4.57;no;;BO_TOPO={'2006': 2}
Hau_4;3;4;2021_SIWRP_QHPCTT;14.2;4.74;no;;
CaiBe_TG;2;2;2021_SIWRP_QHPCTT;10.1;10.11;no;;THUA_KC=10.1km
CuaDai_2;2;2;2021_SIWRP_QHPCTT;14.9;14.89;no;;THUA_KC=14.9km
HamLuong_5;2;2;2021_SIWRP_QHPCTT;5.6;5.58;no;;THUA_KC=5.6km
Hau_8;2;3;2021_SIWRP_QHPCTT;8.5;4.24;no;;
Tien_2;2;2;2021_SIWRP_QHPCTT;21.0;21.0;no;;THUA_KC=21.0km
Tien_4;2;2;2021_SIWRP_QHPCTT;14.5;14.54;no;;THUA_KC=14.5km
Tien_8;2;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Tien_9;2;2;2021_SIWRP_QHPCTT;4.8;4.76;no;;
CoChien_1;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru | BO_TOPO={'2006': 10}
CoChien_2;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru | BO_TOPO={'2006': 19}
CoChien_4;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
CuaDai_1;1;2;2021_SIWRP_QHPCTT;6.0;6.0;no;;THUA_KC=6.0km
CuaDai_3;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
HamLuong_1;1;2;2021_SIWRP_QHPCTT;2.0;2.02;no;;BO_TOPO={'2006': 4}
HamLuong_2;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru | BO_TOPO={'2006': 11}
HamLuong_3;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru | BO_TOPO={'2006': 2}
HamLuong_6;1;2;2021_SIWRP_QHPCTT;3.1;3.12;no;;
Hau_1;1;2;2021_SIWRP_QHPCTT;8.1;8.13;no;;THUA_KC=8.1km
Hau_2;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Hau_3;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Hau_5;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Hau_6;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Hau_9;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
NamThon;1;3;2021_SIWRP_QHPCTT;15.5;7.73;no;;THUA_KC=7.7km | BO_TOPO={'2006': 9}
Tien_1;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Tien_3;1;3;2021_SIWRP_QHPCTT;7.3;3.63;no;;
Tien_5;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Tien_6;1;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Tien_7;1;2;2021_SIWRP_QHPCTT;2.5;2.45;no;;
BassacCam;0;33;1998;122.9;3.84;no;;
Hau_10;0;1;2021_SIWRP_QHPCTT;;;no;;CHI_1_MAT_CAT->lang_tru
Hau_11;0;2;2021_SIWRP_QHPCTT;5.3;5.27;no;;THUA_KC=5.3km
Lap Vo;0;20;2006;47.2;2.48;no;;
SongBinhDi;0;5;DH2023;10.4;2.61;no;;
