ten_mike;so_doan;ch0;ch1;dai_km;US;DS;link;giu_ledger;ly_do;n_xsec_mike;topo_id;n_survey2020
10500;1;0.0;2124.0;2.12;3Thuoc@2415;Xa No@20000;no;GIU;co_mat_cat_mike;1;2014;0
13000;1;0.0;2485.0;2.48;3Thuoc@4906;Xa No@22000;no;GIU;co_mat_cat_mike;1;2014;0
14000Nho;1;0.0;3982.0;3.98;KH92@23308;Xa No@24000;no;GIU;co_mat_cat_mike;0;;0
15_9 canal;1;0.0;9527.0;9.53;Tra_ech@34198;TRA_NGOA@28472;no;GIU;co_mat_cat_mike;0;;0
16000;1;0.0;2477.0;2.48;Xa No@25000;RanhTinh@1098;no;GIU;co_mat_cat_mike;1;2014;0
2-9_DOWN;1;0.0;11000.0;11.0;TRA_NGOA@33479;CuaDinhAn@3599;no;GIU;co_mat_cat_mike;4;T47V;0
3 Cui;2;0.0;19755.0;19.75;"K. Ngan Dua - BL1@27039; Quan Lo PH@27584";"K. Nang Ren@16512; K. Ngan Dua - BL1@27039";no;GIU;co_mat_cat_mike;0;;0
30-4;2;0.0;13696.0;13.7;THGCat@1492;"Hau BoiTN@3707; THGCat@1492";no;GIU;co_mat_cat_mike;5;2014;0
3Thuoc;1;0.0;5715.0;5.71;K8000@3000;14000Nho@1219;no;GIU;co_mat_cat_mike;0;;0
4000;1;0.0;3237.0;3.24;O Mon@25000;KH8@28049;no;GIU;co_mat_cat_mike;3;2014;0
6500_1;1;0.0;3925.0;3.92;KH8@30000;KH92@15568;no;GIU;co_mat_cat_mike;3;2014;0
6500_2;1;0.0;1716.0;1.72;KH92@15568;HangXoai@2505;no;GIU;co_mat_cat_mike;1;2014;0
6500_3;1;0.0;2537.0;2.54;HangXoai@2505;Xa No@16000;no;GIU;co_mat_cat_mike;2;2014;0
7000_1;1;0.0;2309.0;2.31;O Mon@28000;KH8@31012;no;GIU;co_mat_cat_mike;2;2014;0
7000_2;1;0.0;3923.0;3.92;KH8@31012;KH92@16470;no;GIU;co_mat_cat_mike;2;2014;0
7000_3;1;0.0;4814.0;4.81;KH92@16470;Xa No@16000;no;GIU;co_mat_cat_mike;2;2014;0
9 Thuoc;1;0.0;13932.0;13.93;K8000@5078;Hau@1839;no;GIU;co_mat_cat_mike;0;;0
9 Thuoc2;2;0.0;6813.0;6.81;"Nang Mau@42231; 9 Thuoc@10976";"9 Thuoc@10976; Xa No@29000";no;GIU;co_mat_cat_mike;0;;0
9500;1;0.0;2004.0;2.0;Xa No@19000;3Thuoc@1518;no;GIU;co_mat_cat_mike;1;2014;0
A Cu;1;0.0;6438.0;6.44;K. Bao Bien@943;Dai Ngai@12002;no;GIU;co_mat_cat_mike;0;;0
A01;1;0.0;7414.0;7.41;Tien_9@1994;GO28_38@7942;no;GIU;co_mat_cat_mike;2;NORTH;0
A02;1;0.0;3575.0;3.58;Tien_9@4735;GO28_38@15000;no;GIU;co_mat_cat_mike;2;NORTH;0
A03;1;0.0;6239.0;6.24;Tien@186742;GO28_38@24184;no;GIU;co_mat_cat_mike;2;NORTH;0
A04;1;0.0;6395.0;6.39;CuaDai@11822;Ba Lai@8552;no;GIU;co_mat_cat_mike;3;NORTH;0
A05;1;0.0;6248.0;6.25;CuaDai@11822;Ba Lai@13280;no;GIU;co_mat_cat_mike;2;NORTH;0
A06;1;0.0;7152.0;7.15;CuaDai@14355;Ba Lai@16444;no;GIU;co_mat_cat_mike;2;NORTH;0
A07;1;0.0;7574.0;7.57;CuaDai@19605;A06@5860;no;GIU;co_mat_cat_mike;1;NORTH;0
A08;1;0.0;7167.0;7.17;CuaDai@22433;Ba Lai@20658;no;GIU;co_mat_cat_mike;3;NORTH;0
A09;1;0.0;18148.0;18.15;CuaDai@24665;CuaDai@30163;no;GIU;co_mat_cat_mike;4;NORTH;0
A10;1;0.0;4275.0;4.28;A09@3750;Ba Lai@23011;no;GIU;co_mat_cat_mike;1;NORTH;0
A11;1;0.0;3515.0;3.52;A09@6012;Ba Lai@24371;no;GIU;co_mat_cat_mike;1;NORTH;0
A12;1;0.0;4801.0;4.8;A09@7261;Ba Lai@27240;no;GIU;co_mat_cat_mike;1;NORTH;0
A13;1;0.0;4536.0;4.54;A09@10307;Ba Lai@28523;no;GIU;co_mat_cat_mike;1;NORTH;0
A14;1;0.0;19435.0;19.43;CuaDai@34921;Ba Lai@38563;no;GIU;co_mat_cat_mike;3;NORTH;0
A15;1;0.0;6556.0;6.56;A09@11334;Ba Lai@30428;no;GIU;co_mat_cat_mike;1;NORTH;0
A16;1;0.0;8129.0;8.13;Giao Hoa@14459;A04@4790;no;GIU;co_mat_cat_mike;2;NORTH;0
A17;1;0.0;8877.0;8.88;A14@12143;Ba Lai@34976;no;GIU;co_mat_cat_mike;1;NORTH;0
A18;1;0.0;3062.0;3.06;CuaDai@8098;A16@7800;no;GIU;co_mat_cat_mike;2;NORTH;0
AMAB1;1;0.0;4535.0;4.54;QuocPhong11_2@1292;KENHCHONGMY@30000;no;GIU;co_mat_cat_mike;4;TOPO?;0
AMAB10;1;0.0;3560.0;3.56;R. Thu Nhat@3874;Cai Lon@5084;no;GIU;co_mat_cat_mike;4;TOPO?;0
AMAB11;1;0.0;4362.0;4.36;KG19_20@3168;Cai Lon@11378;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB12;1;0.0;4412.0;4.41;KG19_20@5227;Cai Lon@12634;no;GIU;co_mat_cat_mike;5;DH2020, TOPO?;0
AMAB13;1;0.0;5528.0;5.53;KENHTHAYCAI1@12995;Can Gao@14500;no;GIU;co_mat_cat_mike;6;DH2020, TOPO?;0
AMAB14;1;0.0;2694.0;2.69;Can Gao@14500;KENHBANGANDAI@6416;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB15;1;0.0;2680.0;2.68;KENHBANGANDAI@6416;K. Lam Khiet@13479;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB16;1;0.0;2821.0;2.82;Can Gao@13115;KENHBANGANDAI@6000;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB17;1;0.0;2798.0;2.8;KENHBANGANDAI@6000;K. Lam Khiet@13479;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB2;1;0.0;7370.0;7.37;KENHCHONGMY@30000;Can Gao@24825;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB3;1;0.0;1912.0;1.91;TU_DO;KENHCHONGMY@43841;no;GIU;co_mat_cat_mike;3;DH2020;0
AMAB4;1;0.0;6277.0;6.28;KENHCHONGMY@43841;LUNGROGHE3@1137;no;GIU;co_mat_cat_mike;4;DH2020;0
AMAB5;1;0.0;1535.0;1.53;LUNGROGHE3@1137;Can Gao@33771;no;GIU;co_mat_cat_mike;2;TOPO?;0
AMAB6;1;0.0;5305.0;5.3;LUNGROGHE2@1551;Can Gao@30105;no;GIU;co_mat_cat_mike;3;DH2020;0
AMAB7;1;0.0;5643.0;5.64;TU_DO;R. Thu Nhat@7817;no;GIU;co_mat_cat_mike;4;TOPO?;0
AMAB8;1;0.0;4317.0;4.32;R. Thu Nhat@6188;Cai Lon@2803;no;GIU;co_mat_cat_mike;4;TOPO?;0
AMAB9;1;0.0;3967.0;3.97;R. Thu Nhat@4638;Cai Lon@4000;no;GIU;co_mat_cat_mike;4;TOPO?;0
APMYXEOLAXEOGIUA;1;0.0;10135.0;10.13;Song_Cai_Rang@1270;BASSAC@153404;no;GIU;co_mat_cat_mike;2;2006;0
An Binh;1;0.0;31220.0;31.22;Tien@30368;Phuoc Xuyen2@7769;no;GIU;co_mat_cat_mike;0;;0
An Binh AG;2;0.0;10866.0;10.87;"Lung Lon 2@6500; Ba Hon@3000";Lung Lon 2@6500;no;GIU;co_mat_cat_mike;0;;0
An Phong MH;1;43200.0;86000.0;42.8;Phuoc Xuyen2@35266;Bac Dong@16100;no;GIU;co_mat_cat_mike;0;;0
An Phong MH1;1;0.0;43476.0;43.48;Tien@45673;Phuoc Xuyen2@35266;no;GIU;co_mat_cat_mike;0;;0
An Tap;2;0.0;22130.0;22.13;"TH Giong Cat@4514; Xeo Chit@11736";"Soc Trang@26281; TH Giong Cat@4514";no;GIU;co_mat_cat_mike;0;;0
B01;1;0.0;5262.0;5.26;Tien@153989;B02@1263;no;GIU;co_mat_cat_mike;1;NORTH;0
B02;1;0.0;2949.0;2.95;GO28_38@1288;Branch AB@1909;no;GIU;co_mat_cat_mike;2;NORTH;0
B03;1;0.0;3715.0;3.71;Branch AB@904;Branch AA@7403;no;GIU;co_mat_cat_mike;2;NORTH;0
B04;1;0.0;21567.0;21.57;B03@2314;Giao Hoa@10672;no;GIU;co_mat_cat_mike;6;NORTH;0
B05;1;0.0;1776.0;1.78;GO28_38@7942;B04@2301;no;GIU;co_mat_cat_mike;1;NORTH;0
B06;1;0.0;1177.0;1.18;Branch AA@9966;B04@2301;no;GIU;co_mat_cat_mike;1;NORTH;0
