location_id;topo_id;chainage;rong;z_day;n_pt
10500;2014;0.0;30.0;-1.5;7
13000;2014;2485.0;30.0;-1.5;7
14000NHO;2014;2880.0;30.0;-1.5;7
15_9 CANAL;2006;0.0;52.0;-1.85;14
15_9 CANAL;2006;3000.0;53.0;-1.64;15
15_9 CANAL;2006;7000.0;52.0;-1.64;15
15_9 CANAL;2006;11000.0;85.0;-1.9;18
15_9 CANAL;2006;15000.0;70.0;-2.72;18
15_9 CANAL;2006;19000.0;63.0;-2.85;18
15_9 CANAL;2006;21974.0;69.387;-4.031;28
15_9 CANAL;2006;22474.0;75.0;-4.23;17
15_9 CANAL;2006;23270.0;75.0;-4.23;17
16000;2014;0.0;30.0;-1.5;7
2-9_DOWN;T47V;0.0;42.0;-2.1;26
2-9_DOWN;T47V;6500.0;63.0;-2.85;18
2-9_DOWN;T47V;9500.0;70.909;-3.76;30
2-9_DOWN;T47V;11000.0;75.0;-4.23;17
3 CUI;2014;0.0;20.0;-2.0;33
3 CUI;2014;500.0;20.0;-2.0;33
3 CUI;2014;4000.0;20.0;-2.0;33
3 CUI;2014;8000.0;20.0;-2.0;33
3 CUI;2014;12000.0;20.0;-2.0;33
3 CUI;2014;18000.0;20.0;-2.0;33
3 CUI;2014;19755.0;20.0;-2.0;33
30-4;2014;2000.0;20.0;-1.225;9
30-4;2014;6000.0;20.0;-1.225;9
30-4;2014;9000.0;20.0;-1.225;9
30-4;2014;12000.0;20.0;-1.225;9
30-4;2014;13696.0;20.0;-1.225;9
3THUOC;2014;0.0;30.0;-1.5;7
3THUOC;2014;2500.0;30.0;-1.5;7
3THUOC;2014;5715.0;30.0;-1.5;7
4000;2014;0.0;30.0;-1.5;7
4000;2014;976.0;30.0;-1.5;7
4000;2014;3237.0;30.0;-1.5;7
6500_1;2014;0.0;30.0;-1.5;7
6500_1;2014;3011.0;30.0;-1.5;7
6500_1;2014;3500.0;30.0;-1.5;7
6500_2;2014;0.0;30.0;-1.5;7
6500_3;2014;0.0;30.0;-1.5;7
6500_3;2014;1000.0;30.0;-1.5;7
7000_1;2014;0.0;30.0;-1.5;7
7000_1;2014;1162.0;30.0;-1.5;7
7000_2;2014;0.0;30.0;-1.5;7
7000_2;2014;1000.0;30.0;-1.5;7
7000_3;2014;0.0;30.0;-1.5;7
7000_3;2014;3000.0;30.0;-1.5;7
9 THUOC;DH2020;0.0;50.13;-2.15;50
9 THUOC;DH2020;2040.0;54.89;-1.49;49
9 THUOC;DH2020;3991.0;60.25;-2.13;45
9 THUOC;DH2020;6117.0;50.52;-1.97;37
9 THUOC;DH2020;7976.0;52.55;-2.62;42
9 THUOC;DH2020;9858.0;65.8;-2.76;39
9 THUOC;DH2020;11712.0;53.73;-2.16;37
9 THUOC;DH2020;13842.0;44.34;-1.09;28
9 THUOC2;2014;2000.0;50.13;-2.15;50
9 THUOC2;2014;4000.0;50.13;-2.15;50
9500;2014;1857.0;30.0;-1.5;7
A CU;2014;1000.0;20.0;-1.225;9
A CU;2014;2000.0;20.0;-1.225;9
A CU;2014;4000.0;20.0;-1.225;9
A CU;2014;5258.0;20.0;-3.606;9
A CU;2014;5764.0;20.0;-3.606;9
A01;NORTH;2000.0;52.0;-1.64;17
A01;NORTH;5600.0;52.0;-1.64;17
A02;NORTH;0.0;34.0;-3.0;17
A02;NORTH;1000.0;34.0;-3.0;17
A03;NORTH;0.0;30.0;-2.5;15
A03;NORTH;3000.0;30.0;-2.5;15
A04;NORTH;3550.0;47.0;-1.194;21
A04;NORTH;5500.0;47.0;-2.0;21
A04;NORTH;6133.0;47.0;-2.0;21
A05;NORTH;3100.0;49.0;-1.75;20
A05;NORTH;5150.0;49.0;-1.75;20
A06;NORTH;3350.0;45.0;-1.43;20
A06;NORTH;6350.0;51.0;-2.02;21
A07;NORTH;3100.0;64.0;-4.12;23
A08;NORTH;1500.0;60.0;-4.18;23
A08;NORTH;3400.0;60.0;-4.18;23
A08;NORTH;6300.0;59.0;-3.56;22
A09;NORTH;3750.0;92.0;-5.56;32
A09;NORTH;8350.0;98.0;-4.49;28
A09;NORTH;13000.0;98.0;-4.49;28
A09;NORTH;17550.0;112.0;-5.73;36
A10;NORTH;2150.0;47.0;-1.204;18
A11;NORTH;1700.0;47.0;-1.204;18
A12;NORTH;2500.0;47.0;-2.5;18
A13;NORTH;1500.0;47.0;-2.5;18
A14;NORTH;500.0;47.0;-2.5;18
A14;NORTH;11000.0;47.0;-2.5;18
A14;NORTH;17000.0;47.0;-2.5;18
A15;NORTH;2000.0;47.0;-2.5;18
A16;NORTH;3000.0;41.0;-1.2;21
A16;NORTH;7800.0;41.0;-1.2;21
A17;NORTH;4000.0;47.0;-2.5;18
A18;NORTH;0.0;47.0;-2.0;21
A18;NORTH;1500.0;47.0;-2.0;21
AMAB1;TOPO?;50.0;18.0;-2.0;6
AMAB1;TOPO?;250.0;18.0;-2.0;6
AMAB1;TOPO?;500.0;18.0;-2.0;6
AMAB1;TOPO?;4535.0;18.0;-2.0;6
AMAB10;TOPO?;0.0;16.0;-2.0;6
AMAB10;TOPO?;3200.0;16.0;-2.0;6
AMAB10;TOPO?;3400.0;16.0;-2.0;6
AMAB10;TOPO?;3560.0;16.0;-2.0;6
AMAB11;TOPO?;0.0;13.0;-2.0;6
AMAB11;TOPO?;4362.0;13.0;-2.0;6
AMAB12;TOPO?;0.0;24.0;-2.0;6
AMAB12;DH2020;304.0;57.0;-2.343;30
AMAB12;DH2020;1830.0;53.0;-2.044;30
AMAB12;DH2020;4277.0;52.0;-3.135;27
AMAB12;TOPO?;4412.0;24.0;-2.0;6
AMAB13;TOPO?;0.0;14.0;-2.0;6
AMAB13;DH2020;777.0;60.0;-1.966;31
AMAB13;DH2020;2090.0;59.0;-1.65;27
AMAB13;DH2020;3879.0;57.0;-1.43;27
AMAB13;TOPO?;5528.0;14.0;-2.0;6
AMAB13;DH2020;6038.0;52.0;-1.657;29
AMAB14;TOPO?;0.0;9.0;-2.0;6
AMAB14;TOPO?;2694.0;9.0;-2.0;6
AMAB15;TOPO?;0.0;9.0;-2.0;6
AMAB15;TOPO?;2680.0;9.0;-2.0;6
AMAB16;TOPO?;0.0;11.0;-2.0;6
AMAB16;TOPO?;2821.0;11.0;-2.0;6
