y_m;z_m;kind
0.00;1.420;bo
4.80;1.430;bo
9.00;1.450;bo
14.10;1.580;bo
14.88;2.690;bo
18.12;2.880;bo
21.02;2.880;bo
24.05;2.830;bo
25.82;1.650;bo
28.28;1.310;bo
31.19;1.030;bo
34.17;0.700;bo
37.37;0.550;bo
40.56;0.450;bo
43.73;0.290;bo
46.87;0.230;bo
50.00;0.140;bo
53.14;0.000;bo
56.00;-0.150;bo
58.97;-0.440;bo
62.96;-0.710;bo
66.43;-1.150;bo
70.82;-1.350;bo
75.85;-1.550;bo
80.84;-1.750;do
85.84;-1.950;do
90.86;-2.370;do
95.82;-2.690;do
100.85;-2.890;do
105.88;-3.320;do
110.88;-3.490;do
115.90;-3.990;do
120.83;-4.340;do
125.83;-4.600;do
130.85;-4.830;do
135.88;-5.010;do
140.90;-5.200;do
145.83;-5.220;do
150.83;-5.360;do
155.86;-5.610;do
160.88;-5.830;do
165.88;-6.070;do
170.87;-6.360;do
175.93;-6.750;do
180.88;-6.940;do
185.90;-7.200;do
190.87;-7.160;do
195.91;-7.250;do
200.85;-7.360;do
205.92;-7.500;do
210.91;-7.580;do
215.91;-7.810;do
220.87;-7.810;do
225.86;-7.860;do
230.82;-7.900;do
235.95;-8.040;do
240.85;-8.040;do
245.82;-8.120;do
250.92;-8.300;do
255.87;-8.310;do
260.84;-8.380;do
265.84;-8.520;do
270.84;-8.620;do
275.85;-8.760;do
280.88;-8.700;do
285.85;-8.780;do
290.83;-8.880;do
295.85;-8.920;do
300.85;-8.900;do
305.92;-8.830;do
310.86;-8.980;do
315.86;-8.990;do
320.92;-8.900;do
325.88;-8.900;do
330.88;-8.790;do
335.87;-8.790;do
340.85;-8.780;do
345.83;-8.640;do
350.93;-8.680;do
355.85;-8.650;do
360.85;-8.630;do
365.89;-8.640;do
370.92;-8.700;do
375.90;-8.680;do
380.87;-8.690;do
385.86;-8.710;do
390.87;-8.690;do
395.84;-8.760;do
400.90;-8.730;do
405.89;-8.550;do
410.86;-8.570;do
415.86;-8.600;do
420.87;-8.510;do
425.85;-8.490;do
430.88;-8.490;do
435.84;-8.500;do
440.85;-8.480;do
445.86;-8.390;do
450.84;-8.230;do
455.89;-8.140;do
460.84;-8.080;do
465.95;-8.050;do
470.95;-7.940;do
475.85;-7.900;do
480.86;-7.670;do
485.88;-7.570;do
490.86;-7.510;do
495.85;-7.380;do
500.87;-7.300;do
505.85;-7.250;do
510.85;-7.190;do
515.84;-7.080;do
520.88;-7.020;do
525.87;-6.930;do
530.87;-6.860;do
535.84;-6.820;do
540.90;-6.790;do
545.86;-6.750;do
550.84;-6.660;do
555.84;-6.590;do
560.88;-6.540;do
565.82;-6.510;do
570.90;-6.500;do
575.88;-6.470;do
580.82;-6.440;do
585.84;-6.420;do
590.85;-6.360;do
595.88;-6.360;do
600.86;-6.370;do
605.85;-6.320;do
610.90;-6.320;do
615.86;-6.310;do
620.90;-6.260;do
625.89;-6.340;do
630.94;-6.250;do
635.83;-6.220;do
640.93;-6.310;do
645.90;-6.220;do
650.89;-6.240;do
655.82;-6.230;do
660.85;-6.210;do
665.87;-6.230;do
670.91;-6.230;do
675.83;-6.220;do
680.88;-6.260;do
685.90;-6.240;do
690.89;-6.190;do
695.86;-6.200;do
700.83;-6.120;do
705.85;-6.100;do
710.93;-6.020;do
715.88;-5.980;do
720.86;-5.930;do
725.84;-5.950;do
730.88;-5.900;do
735.82;-5.990;do
740.83;-5.850;do
745.88;-5.830;do
750.90;-5.800;do
755.85;-5.780;do
760.90;-5.740;do
765.83;-5.670;do
770.83;-5.580;do
775.85;-5.520;do
780.83;-5.490;do
785.91;-5.680;do
790.92;-5.410;do
795.86;-5.520;do
800.85;-5.690;do
805.91;-5.910;do
810.82;-5.700;do
815.88;-5.690;do
820.86;-5.680;do
825.89;-5.700;do
830.85;-5.770;do
835.85;-5.740;do
840.85;-5.630;do
845.93;-5.690;do
850.88;-5.730;do
855.86;-5.710;do
860.84;-5.710;do
865.97;-5.720;do
870.82;-5.730;do
875.87;-5.750;do
880.89;-5.740;do
885.89;-5.790;do
890.91;-5.800;do
895.86;-5.820;do
900.82;-5.860;do
905.90;-5.930;do
910.87;-6.010;do
915.85;-6.100;do
920.87;-5.990;do
925.91;-6.090;do
930.85;-6.000;do
935.86;-6.070;do
940.92;-5.990;do
945.91;-6.000;do
950.90;-5.970;do
955.89;-5.990;do
960.86;-6.020;do
965.87;-5.950;do
970.89;-5.940;do
975.85;-5.920;do
980.90;-6.040;do
985.82;-6.150;do
990.93;-5.780;do
995.89;-5.700;do
1000.91;-5.680;do
1005.87;-5.660;do
1010.86;-5.580;do
1015.85;-5.580;do
1020.89;-5.470;do
1025.88;-5.410;do
1030.91;-5.400;do
1035.92;-5.380;do
1040.87;-5.330;do
1045.89;-5.290;do
1050.86;-5.260;do
1055.89;-5.230;do
1060.95;-5.150;do
1065.89;-5.110;do
1070.85;-5.050;do
1075.92;-5.070;do
1080.85;-4.990;do
1085.88;-4.910;do
1090.87;-4.890;do
1095.83;-4.780;do
1100.89;-4.790;do
1105.85;-4.690;do
1110.87;-4.760;do
1115.89;-4.630;do
1120.82;-4.600;do
1125.89;-4.520;do
1130.88;-4.530;do
1135.94;-4.420;do
1140.91;-4.330;do
1145.90;-4.310;do
1150.85;-4.260;do
1155.90;-4.160;do
1160.90;-4.240;do
1165.91;-4.100;do
1170.90;-4.050;do
1175.92;-3.930;do
1180.89;-3.980;do
1185.85;-3.930;do
1190.95;-3.720;do
1195.93;-3.690;do
1200.82;-3.510;do
1205.84;-3.590;do
1210.87;-3.470;do
1216.01;-3.280;do
1220.88;-3.290;do
1225.88;-3.110;do
1230.82;-3.180;do
1235.83;-3.130;do
1240.85;-3.010;do
1245.92;-2.960;do
1250.87;-3.130;do
1255.87;-2.950;do
1260.84;-2.950;do
1266.31;-2.900;do
1270.92;-2.900;do
1275.92;-2.860;do
1280.92;-2.820;do
1285.89;-2.760;do
1290.86;-2.710;do
1295.88;-2.680;do
1300.85;-2.640;do
1305.85;-2.660;do
1310.85;-2.550;do
1315.85;-2.500;do
1320.85;-2.440;do
1325.88;-2.390;do
1330.90;-2.310;do
1335.89;-2.240;do
1340.86;-2.220;do
1345.92;-2.130;do
1350.87;-2.070;do
1355.89;-2.050;do
1360.88;-2.030;do
1365.91;-2.020;do
1370.91;-2.020;do
1375.91;-2.000;do
1380.83;-2.050;do
1385.86;-2.190;do
1390.86;-2.030;do
1395.89;-2.100;do
1400.83;-2.030;do
1405.93;-1.970;do
1410.87;-1.970;do
1415.83;-1.930;do
1420.86;-1.970;do
1425.84;-1.990;do
1430.89;-2.010;do
1435.84;-2.040;do
1440.88;-2.170;do
1445.89;-2.270;do
1450.90;-2.400;do
1455.85;-2.440;do
1460.91;-2.630;do
1465.91;-2.950;do
1470.91;-2.830;do
1475.84;-3.110;do
1480.82;-3.080;do
1485.88;-3.220;do
1490.84;-3.320;do
1495.94;-3.390;do
1500.84;-3.690;do
1505.86;-3.730;do
1510.93;-3.890;do
1515.89;-3.950;do
1520.86;-4.020;do
1525.90;-4.150;do
1530.92;-4.290;do
1535.94;-4.380;do
1540.94;-4.460;do
1545.91;-4.580;do
1550.84;-4.690;do
1555.88;-4.780;do
1560.90;-4.770;do
1565.91;-4.890;do
1570.86;-4.940;do
1575.86;-4.990;do
1580.90;-4.990;do
1585.86;-5.120;do
1590.83;-5.160;do
1595.88;-5.220;do
1600.87;-5.250;do
1605.87;-5.280;do
1610.85;-5.340;do
1615.83;-5.400;do
1620.93;-5.400;do
1625.85;-5.430;do
1630.83;-5.450;do
1635.94;-5.480;do
1640.82;-5.520;do
1645.84;-5.520;do
1650.82;-5.590;do
1655.83;-5.640;do
1660.85;-5.650;do
1665.86;-5.680;do
1670.86;-5.720;do
1675.87;-5.720;do
1680.85;-5.770;do
1685.87;-5.870;do
1690.85;-5.840;do
1695.85;-5.900;do
1700.83;-5.910;do
1705.85;-5.950;do
1710.84;-5.980;do
1715.88;-6.030;do
1720.85;-6.080;do
1725.83;-6.120;do
1730.87;-6.190;do
1735.86;-6.220;do
1740.84;-6.290;do
1745.86;-6.330;do
1750.89;-6.380;do
1755.88;-6.470;do
1760.83;-6.510;do
1765.82;-6.540;do
1770.84;-6.600;do
1775.84;-6.620;do
1780.87;-6.680;do
1785.87;-6.790;do
1790.87;-6.790;do
1795.86;-6.840;do
1800.83;-7.090;do
1805.86;-6.970;do
1810.85;-7.010;do
1815.87;-7.080;do
1820.87;-7.110;do
1825.85;-7.140;do
1830.83;-7.150;do
1835.83;-7.200;do
1840.83;-7.250;do
1845.83;-7.290;do
1850.85;-7.370;do
1855.85;-7.370;do
1860.83;-7.410;do
1865.83;-7.420;do
1870.82;-7.480;do
1875.85;-7.510;do
1880.82;-7.540;do
1885.87;-7.580;do
1890.87;-7.710;do
1895.84;-7.750;do
1900.87;-7.690;do
1905.87;-7.750;do
1910.87;-7.770;do
1915.83;-7.830;do
1920.86;-7.850;do
1925.88;-7.940;do
1930.85;-7.890;do
1935.86;-7.930;do
1940.86;-7.970;do
1945.85;-8.010;do
1950.82;-8.060;do
1955.85;-8.050;do
1960.85;-8.060;do
1965.87;-8.110;do
1970.83;-8.120;do
1975.85;-8.150;do
1980.83;-8.160;do
1985.84;-8.220;do
1990.87;-8.250;do
1995.86;-8.280;do
2000.84;-8.290;do
2005.84;-8.340;do
2010.84;-8.380;do
2015.83;-8.500;do
2020.85;-8.560;do
2026.01;-8.480;do
2030.84;-8.580;do
2035.91;-8.630;do
2040.90;-8.680;do
2045.90;-8.740;do
2050.99;-8.780;do
2056.07;-8.750;do
2060.85;-8.740;do
2065.86;-8.790;do
2070.84;-8.820;do
2075.83;-8.910;do
2080.83;-8.810;do
2085.86;-8.910;do
2090.82;-8.910;do
2095.86;-8.900;do
2100.83;-8.890;do
2105.85;-8.870;do
2110.97;-8.870;do
2115.92;-8.880;do
2121.07;-8.870;do
2126.00;-8.890;do
2130.87;-8.830;do
2135.88;-8.880;do
2140.97;-9.290;do
2145.83;-8.850;do
2151.00;-9.120;do
2155.83;-8.890;do
2160.85;-8.870;do
2165.83;-8.890;do
2171.05;-8.850;do
2175.88;-8.810;do
2180.85;-8.830;do
2186.08;-8.840;do
2190.84;-8.810;do
2195.87;-8.740;do
2200.83;-8.750;do
2205.94;-8.720;do
2210.86;-8.620;do
2215.86;-8.590;do
2220.85;-8.070;do
2225.83;-7.340;do
2230.85;-7.690;do
2235.82;-7.630;do
2240.85;-7.830;do
2245.83;-7.800;do
2250.84;-7.360;do
2255.83;-7.290;do
2260.85;-7.150;do
2265.85;-7.020;do
2270.85;-6.840;do
2275.84;-6.690;do
2280.84;-6.600;do
2285.84;-6.470;do
2290.82;-6.390;do
2295.83;-6.290;do
2300.86;-6.240;do
2305.86;-6.100;do
2310.84;-5.960;do
2315.83;-5.880;do
2320.86;-5.770;do
2325.83;-5.660;do
2330.83;-5.410;do
2335.83;-5.450;do
2340.84;-5.340;do
2345.82;-5.230;do
2350.82;-5.250;do
2355.82;-5.180;do
2360.83;-4.980;do
2365.82;-3.710;do
2370.87;-3.140;do
2375.86;-2.690;do
2380.87;-1.820;do
2386.61;-1.540;do
2391.60;-1.120;do
2395.60;-0.880;do
2398.24;-0.770;do
2401.46;-0.240;do
2404.65;-0.370;do
2407.71;-0.120;do
2411.07;0.050;do
2415.77;0.200;do
2420.37;0.340;do
2425.67;0.300;do
2430.87;0.320;do
2435.97;0.350;do
2440.87;0.360;do
2446.17;0.370;do
2450.97;0.380;do
2455.67;0.400;do
2460.97;0.420;do
2465.57;0.430;do
2470.37;0.510;do
2474.87;0.540;do
2480.07;0.600;do
2485.21;0.640;do
2489.71;0.670;do
2494.51;0.730;do
2499.65;0.760;do
2503.95;0.837;do
2508.55;0.880;do
2513.69;0.940;do
2518.69;0.980;do
2523.69;1.030;bo
2528.83;1.070;bo
2533.83;1.130;bo
