y_m;z_m;kind
0.00;-0.770;bo
4.80;-0.770;bo
9.90;-0.770;bo
14.50;-0.250;bo
19.00;0.660;bo
21.90;1.580;bo
23.50;2.540;bo
26.00;2.505;bo
28.96;0.370;bo
33.96;-0.430;bo
38.96;-1.330;bo
44.02;-2.750;do
49.00;-3.120;do
53.98;-4.620;do
58.99;-6.030;do
64.03;-6.960;do
69.00;-8.080;do
74.01;-8.920;do
78.97;-9.740;do
84.02;-10.570;do
88.96;-10.640;do
94.00;-11.370;do
99.01;-12.220;do
104.03;-12.720;do
109.02;-13.130;do
113.95;-13.690;do
119.00;-13.310;do
123.97;-13.060;do
129.03;-13.050;do
134.00;-13.060;do
139.02;-13.050;do
143.96;-13.050;do
148.97;-12.960;do
154.03;-12.870;do
158.96;-12.720;do
163.95;-12.710;do
168.96;-12.510;do
173.96;-12.350;do
178.96;-12.460;do
183.97;-12.310;do
189.00;-12.260;do
194.02;-12.080;do
198.99;-11.890;do
203.95;-11.820;do
208.99;-11.780;do
214.00;-11.680;do
219.03;-11.710;do
224.01;-11.670;do
228.98;-11.470;do
234.01;-11.760;do
239.03;-12.230;do
244.02;-11.680;do
249.04;-11.550;do
254.01;-11.520;do
259.00;-11.560;do
264.02;-11.440;do
269.03;-11.510;do
274.01;-11.590;do
278.99;-11.560;do
284.02;-11.660;do
289.00;-11.380;do
294.00;-11.710;do
299.01;-11.710;do
304.00;-11.960;do
309.01;-12.170;do
314.02;-12.290;do
319.01;-12.690;do
323.94;-13.110;do
328.89;-13.530;do
333.97;-13.570;do
338.79;-13.330;do
343.83;-13.080;do
348.91;-13.150;do
353.78;-14.620;do
358.94;-14.980;do
363.96;-15.230;do
369.03;-15.240;do
374.03;-15.110;do
378.76;-15.530;do
384.04;-15.250;do
388.98;-15.140;do
394.03;-15.090;do
399.02;-15.130;do
403.98;-15.490;do
409.01;-15.370;do
414.00;-15.300;do
419.03;-15.310;do
423.97;-15.280;do
429.02;-15.250;do
433.98;-15.260;do
439.01;-15.260;do
443.99;-15.240;do
448.98;-15.250;do
453.82;-14.760;do
458.97;-14.880;do
464.01;-14.790;do
468.99;-14.510;do
474.00;-14.270;do
479.03;-13.440;do
484.03;-12.540;do
488.99;-11.870;do
494.03;-11.250;do
498.98;-11.990;do
504.00;-12.420;do
508.92;-12.080;do
513.99;-11.380;do
519.03;-11.550;do
523.98;-11.790;do
528.99;-12.240;do
534.00;-11.950;do
538.99;-11.930;do
544.03;-11.900;do
549.01;-11.760;do
553.96;-11.810;do
559.02;-11.960;do
564.03;-11.840;do
568.97;-12.040;do
574.03;-12.210;do
578.96;-12.190;do
583.98;-11.890;do
589.04;-11.910;do
594.03;-11.660;do
598.97;-11.790;do
603.99;-11.810;do
609.03;-12.090;do
613.96;-12.070;do
618.98;-12.200;do
624.00;-12.120;do
629.02;-12.470;do
633.98;-12.350;do
638.96;-12.700;do
643.97;-12.950;do
649.02;-12.870;do
654.00;-13.010;do
659.00;-13.140;do
663.94;-13.540;do
668.69;-13.630;do
673.99;-13.720;do
679.01;-13.860;do
683.76;-14.020;do
688.99;-14.340;do
694.02;-14.650;do
699.00;-15.080;do
704.02;-15.080;do
709.00;-15.130;do
713.76;-15.210;do
719.03;-15.270;do
723.92;-15.500;do
728.97;-15.600;do
733.99;-15.700;do
739.00;-14.150;do
743.96;-14.190;do
748.79;-13.690;do
753.95;-13.760;do
758.70;-13.340;do
763.71;-13.120;do
768.97;-13.170;do
773.96;-13.180;do
778.82;-13.380;do
783.98;-13.760;do
788.92;-13.920;do
794.03;-14.360;do
798.77;-14.320;do
803.95;-14.290;do
808.94;-14.660;do
813.86;-14.530;do
818.64;-14.840;do
823.99;-15.380;do
828.95;-15.790;do
833.96;-16.330;do
838.99;-15.930;do
843.98;-15.710;do
848.93;-15.410;do
853.57;-15.620;do
858.91;-15.740;do
863.68;-16.220;do
868.97;-16.290;do
873.95;-16.620;do
878.99;-16.650;do
883.74;-16.880;do
888.79;-17.360;do
894.01;-17.700;do
899.02;-17.940;do
904.02;-18.160;do
908.99;-18.220;do
913.46;-18.090;do
918.59;-17.690;do
923.97;-17.250;do
928.96;-17.130;do
933.95;-16.910;do
938.88;-17.110;do
943.66;-16.430;do
949.03;-14.610;do
953.78;-14.370;do
958.74;-15.040;do
963.93;-15.580;do
968.69;-16.530;do
973.96;-16.780;do
979.03;-17.310;do
984.03;-16.720;do
989.02;-16.420;do
993.98;-16.180;do
998.96;-15.640;do
1003.96;-15.540;do
1008.99;-15.410;do
1013.97;-15.350;do
1018.95;-15.110;do
1023.96;-14.750;do
1029.01;-14.320;do
1033.55;-13.770;do
1038.96;-13.580;do
1044.03;-13.540;do
1049.03;-13.510;do
1053.99;-13.520;do
1059.03;-13.530;do
1064.02;-13.450;do
1069.02;-13.290;do
1073.95;-13.220;do
1078.92;-13.200;do
1084.01;-13.170;do
1088.91;-13.080;do
1093.96;-13.060;do
1098.92;-12.940;do
1103.94;-12.920;do
1108.97;-12.910;do
1113.95;-12.890;do
1118.96;-12.860;do
1123.96;-12.600;do
1129.01;-12.560;do
1133.88;-12.700;do
1138.96;-12.740;do
1143.96;-12.820;do
1148.92;-13.010;do
1153.92;-13.370;do
1158.97;-13.460;do
1164.02;-13.740;do
1168.92;-13.860;do
1174.04;-14.070;do
1178.97;-14.210;do
1183.96;-14.470;do
1188.93;-14.630;do
1194.00;-14.800;do
1198.96;-14.850;do
1203.74;-14.930;do
1209.00;-14.760;do
1213.98;-14.810;do
1218.97;-14.320;do
1223.95;-13.880;do
1228.92;-13.450;do
1233.89;-12.270;do
1238.90;-11.560;do
1243.97;-10.190;do
1249.02;-8.590;do
1254.03;-5.890;do
1258.97;-3.160;do
1263.92;-3.130;do
1268.99;-3.090;do
1273.90;-3.250;do
1278.95;-3.210;do
1283.96;-3.450;do
1289.01;-3.550;do
1294.01;-3.630;do
1298.96;-3.710;do
1303.97;-3.830;do
1308.96;-3.860;do
1313.98;-3.910;do
1318.94;-3.960;do
1324.00;-4.040;do
