y_m;z_m;kind
0.00;1.620;bo
4.00;1.670;bo
6.85;1.780;bo
10.75;1.880;bo
16.14;2.100;do
18.70;2.310;do
21.70;2.200;do
23.81;2.110;do
26.76;2.150;do
28.94;1.610;do
31.44;0.690;do
34.44;-0.900;do
35.53;-2.000;do
40.63;-3.140;do
45.61;-4.120;do
50.63;-4.940;do
55.61;-5.960;do
60.65;-6.790;do
65.54;-7.090;do
70.58;-7.600;do
75.60;-8.600;do
80.57;-10.270;do
85.60;-10.910;do
90.57;-11.700;do
95.59;-11.650;do
100.52;-12.570;do
105.57;-11.710;do
110.62;-11.530;do
115.60;-11.300;do
120.62;-11.200;do
125.52;-11.040;do
130.53;-10.970;do
135.61;-10.900;do
140.58;-10.920;do
145.52;-10.840;do
150.49;-10.860;do
155.43;-10.850;do
160.16;-10.840;do
165.41;-10.830;do
170.61;-10.820;do
175.59;-11.260;do
180.63;-11.690;do
185.65;-11.460;do
190.53;-11.140;do
195.62;-10.760;do
200.59;-10.770;do
205.52;-10.470;do
210.63;-10.050;do
215.63;-9.850;do
220.53;-9.520;do
225.52;-8.650;do
230.53;-9.100;do
235.63;-8.930;do
240.59;-8.440;do
245.51;-8.150;do
250.64;-8.500;do
255.62;-7.780;do
260.63;-7.270;do
265.60;-6.910;do
270.61;-6.310;do
275.61;-6.250;do
280.54;-6.190;do
285.53;-6.350;do
290.63;-6.070;do
295.51;-5.760;do
300.65;-5.450;do
305.59;-5.140;do
310.65;-4.830;do
315.62;-4.520;do
320.59;-4.210;do
325.62;-3.810;do
330.54;-3.610;do
335.56;-3.500;do
340.60;-3.470;do
345.59;-3.360;do
350.63;-3.290;do
355.56;-3.190;do
360.61;-2.870;do
365.63;-2.570;do
369.55;-2.210;do
373.35;-2.020;do
377.35;-1.830;do
380.65;-1.460;do
383.77;-1.030;do
387.26;-0.540;do
392.05;-0.310;do
393.55;0.680;do
395.05;1.920;do
397.05;1.893;do
398.17;0.590;do
401.22;0.530;do
404.62;0.510;do
408.62;0.500;do
412.62;0.530;bo
416.62;0.500;bo
420.62;0.520;bo
424.83;0.550;bo
