y_m;z_m;kind
0.00;0.240;bo
2.00;0.260;bo
7.00;0.280;bo
11.97;0.300;do
16.94;0.320;do
21.08;0.340;do
21.87;2.440;do
27.75;2.350;do
30.45;0.190;do
36.15;-0.970;do
39.14;-1.750;do
42.16;-2.450;do
45.12;-3.080;do
48.10;-3.400;do
51.13;-3.770;do
54.13;-4.130;do
57.11;-4.300;do
60.15;-4.510;do
63.14;-4.940;do
66.09;-4.970;do
69.11;-5.350;do
72.15;-5.540;do
75.11;-5.710;do
78.13;-5.920;do
81.07;-6.180;do
84.10;-6.490;do
87.08;-6.640;do
90.09;-6.800;do
93.15;-6.950;do
96.08;-7.110;do
99.07;-7.320;do
102.13;-7.460;do
105.14;-7.600;do
108.11;-7.790;do
111.09;-7.920;do
114.13;-8.110;do
117.07;-8.240;do
120.14;-8.490;do
123.15;-8.720;do
126.12;-8.880;do
129.15;-9.130;do
132.08;-9.310;do
135.09;-9.540;do
138.13;-9.690;do
141.12;-9.910;do
144.09;-10.070;do
147.13;-10.470;do
150.14;-10.580;do
153.12;-10.830;do
156.13;-10.940;do
159.16;-11.150;do
162.12;-11.130;do
165.09;-11.270;do
168.12;-11.420;do
171.10;-11.430;do
174.13;-11.760;do
177.15;-11.820;do
180.12;-11.880;do
183.10;-12.000;do
186.14;-12.220;do
189.10;-12.280;do
192.15;-12.450;do
195.16;-12.540;do
198.14;-12.640;do
201.15;-12.660;do
204.13;-12.830;do
207.15;-12.970;do
210.13;-13.230;do
213.12;-13.290;do
216.11;-13.370;do
219.10;-13.590;do
222.13;-13.760;do
225.16;-13.710;do
228.16;-13.640;do
231.15;-13.940;do
234.15;-14.050;do
237.07;-14.270;do
240.10;-14.700;do
243.11;-14.710;do
246.11;-14.770;do
249.13;-14.890;do
252.16;-14.910;do
255.14;-14.660;do
258.11;-14.360;do
261.08;-14.040;do
264.09;-13.950;do
267.16;-13.740;do
270.14;-13.700;do
273.09;-13.710;do
276.13;-13.750;do
279.09;-13.670;do
282.15;-13.110;do
285.11;-12.990;do
288.10;-12.540;do
291.12;-12.240;do
294.14;-12.180;do
297.13;-12.660;do
300.09;-12.930;do
303.12;-13.090;do
306.15;-12.860;do
309.13;-11.310;do
312.10;-10.130;do
315.15;-10.240;do
318.04;-10.150;do
320.98;-9.360;do
324.16;-7.550;do
327.15;-6.100;do
330.13;-2.960;do
333.16;-0.790;do
335.47;0.150;do
337.11;2.020;do
339.11;2.302;do
342.11;2.300;do
344.11;1.110;do
347.61;0.310;do
352.08;0.260;do
356.56;0.250;bo
360.81;0.250;bo
365.28;0.250;bo
