y_m;z_m;kind
0.00;2.560;bo
4.87;2.490;bo
8.11;2.540;do
12.53;2.620;do
16.30;2.540;do
20.78;2.570;do
24.58;2.510;do
25.48;2.070;do
28.06;0.670;do
29.89;0.550;do
33.09;-1.500;do
37.06;-2.960;do
41.02;-4.220;do
45.08;-4.610;do
49.04;-4.910;do
53.08;-4.970;do
57.06;-5.010;do
61.07;-5.050;do
65.00;-5.090;do
69.09;-5.130;do
73.06;-5.170;do
77.11;-5.210;do
81.01;-5.250;do
84.99;-5.290;do
88.97;-5.330;do
93.11;-5.420;do
96.98;-5.430;do
100.97;-5.420;do
105.08;-5.340;do
109.11;-5.260;do
113.11;-5.180;do
116.98;-5.100;do
120.98;-5.020;do
125.01;-4.940;do
129.09;-4.980;do
133.00;-5.000;do
137.07;-5.140;do
141.00;-5.200;do
145.03;-5.230;do
149.04;-5.250;do
153.02;-5.280;do
157.07;-5.380;do
161.06;-5.700;do
164.96;-5.760;do
169.00;-5.780;do
172.97;-5.850;do
177.02;-5.880;do
181.06;-5.900;do
185.09;-6.210;do
189.09;-6.470;do
193.08;-5.810;do
197.10;-5.350;do
201.09;-5.120;do
205.09;-3.930;do
209.12;-2.500;do
212.87;0.550;do
218.68;3.160;do
222.70;3.880;do
225.69;4.350;do
229.13;4.740;do
231.91;4.920;do
234.99;5.130;do
236.96;4.560;do
240.15;4.580;do
243.49;4.690;do
247.40;5.020;bo
251.04;5.060;bo
