y_m;z_m;kind
0.00;4.970;bo
3.83;4.450;bo
7.94;3.890;do
12.15;3.340;do
16.18;2.920;do
21.07;2.450;do
25.88;1.940;do
29.97;1.430;do
31.06;0.600;do
35.92;-3.130;do
39.83;-4.990;do
43.73;-6.830;do
47.69;-7.540;do
51.62;-8.510;do
55.55;-10.430;do
59.55;-11.810;do
63.51;-11.870;do
67.45;-12.030;do
71.53;-12.240;do
75.50;-11.720;do
79.53;-11.730;do
83.50;-11.730;do
87.50;-11.670;do
91.48;-11.630;do
95.47;-10.560;do
99.55;-10.160;do
103.57;-9.620;do
107.58;-8.880;do
111.61;-8.230;do
115.67;-6.850;do
119.74;-5.080;do
123.86;-2.980;do
128.01;-1.340;do
132.55;0.680;do
135.06;1.160;do
138.96;2.280;do
143.45;2.760;do
148.51;2.880;do
151.77;2.530;do
154.90;2.540;do
158.21;2.620;do
161.16;2.570;bo
164.20;2.680;bo
