y_m;z_m;kind
0.00;1.390;bo
4.17;1.420;bo
8.07;1.370;bo
12.00;1.460;bo
16.23;1.390;bo
20.80;1.340;bo
24.35;1.580;bo
28.57;1.520;bo
32.80;0.980;do
34.74;0.550;do
38.17;-0.620;do
42.51;-1.760;do
46.92;-2.520;do
51.18;-3.160;do
55.74;-3.850;do
60.43;-4.050;do
64.95;-4.550;do
69.13;-6.400;do
73.22;-7.090;do
77.21;-7.580;do
81.29;-8.300;do
85.33;-8.900;do
89.31;-9.490;do
93.35;-9.820;do
97.33;-10.000;do
101.37;-10.590;do
105.47;-11.010;do
109.88;-11.470;do
112.11;-11.480;do
116.11;-11.480;do
120.11;-11.520;do
124.14;-11.650;do
128.12;-11.650;do
132.18;-11.660;do
136.09;-11.720;do
140.17;-11.950;do
144.10;-12.090;do
148.07;-12.370;do
152.12;-12.540;do
156.15;-12.780;do
160.14;-12.930;do
164.15;-12.960;do
168.16;-12.970;do
172.05;-12.980;do
176.16;-12.990;do
180.08;-13.000;do
184.03;-13.010;do
188.08;-13.020;do
191.98;-13.030;do
195.98;-13.040;do
200.15;-13.050;do
204.20;-13.060;do
208.14;-13.070;do
212.08;-13.080;do
216.10;-13.090;do
220.15;-13.100;do
224.20;-13.110;do
228.14;-13.130;do
232.05;-13.360;do
236.10;-13.480;do
240.16;-13.660;do
244.22;-13.740;do
248.22;-13.940;do
252.19;-14.240;do
256.09;-14.270;do
260.16;-14.340;do
264.21;-14.420;do
268.23;-14.430;do
272.13;-14.490;do
276.23;-14.500;do
280.14;-14.510;do
284.17;-14.520;do
288.22;-14.580;do
292.09;-14.600;do
296.12;-14.680;do
300.09;-14.820;do
304.19;-14.820;do
308.08;-14.990;do
312.18;-14.890;do
316.24;-14.780;do
320.05;-14.760;do
324.06;-14.730;do
328.19;-14.700;do
332.22;-14.680;do
336.22;-14.550;do
340.09;-14.360;do
344.20;-14.310;do
348.21;-14.170;do
352.13;-14.150;do
356.06;-14.130;do
360.06;-14.070;do
364.21;-14.020;do
368.09;-14.140;do
372.12;-14.200;do
376.20;-14.320;do
380.17;-14.690;do
384.12;-14.890;do
388.17;-15.040;do
392.17;-15.050;do
396.08;-15.060;do
400.12;-15.070;do
404.20;-15.080;do
408.17;-15.090;do
412.19;-15.100;do
416.20;-15.110;do
420.18;-15.120;do
424.17;-15.130;do
428.20;-15.140;do
432.09;-15.150;do
436.12;-15.160;do
440.15;-15.170;do
444.05;-15.180;do
447.92;-15.190;do
452.02;-15.220;do
456.11;-15.250;do
460.09;-15.280;do
464.10;-15.310;do
468.14;-15.340;do
472.02;-15.370;do
476.12;-15.400;do
480.11;-15.430;do
484.12;-15.460;do
488.07;-15.490;do
492.01;-15.570;do
496.07;-15.660;do
500.03;-15.720;do
504.03;-15.780;do
508.11;-15.850;do
512.10;-15.920;do
516.00;-16.100;do
519.94;-16.280;do
524.12;-16.320;do
527.99;-16.350;do
531.97;-16.530;do
536.11;-16.500;do
540.04;-16.330;do
544.09;-16.280;do
548.09;-16.270;do
552.02;-16.250;do
556.03;-16.240;do
560.11;-16.190;do
564.09;-16.180;do
568.02;-16.160;do
572.01;-16.140;do
576.02;-16.120;do
580.09;-16.100;do
584.09;-16.080;do
587.97;-16.060;do
591.98;-15.960;do
596.11;-15.710;do
600.08;-15.680;do
604.00;-15.630;do
608.09;-15.480;do
612.10;-15.440;do
616.07;-15.410;do
619.99;-15.400;do
623.99;-15.150;do
628.04;-15.140;do
632.00;-15.130;do
636.06;-15.110;do
640.05;-14.850;do
644.08;-14.830;do
647.94;-14.710;do
652.12;-14.690;do
655.96;-14.660;do
660.03;-14.650;do
664.01;-14.640;do
667.99;-14.600;do
672.04;-14.560;do
676.05;-14.250;do
680.04;-14.150;do
684.04;-14.060;do
688.04;-13.970;do
692.00;-13.810;do
696.12;-13.490;do
700.04;-13.270;do
704.06;-12.740;do
708.03;-12.650;do
712.05;-12.590;do
716.02;-12.570;do
720.00;-12.550;do
724.09;-12.350;do
728.04;-12.240;do
732.03;-12.230;do
736.05;-12.200;do
740.00;-12.170;do
744.02;-12.160;do
748.11;-12.150;do
752.15;-12.110;do
756.06;-12.070;do
760.01;-12.030;do
763.96;-11.990;do
768.00;-11.920;do
772.13;-11.320;do
776.12;-11.310;do
780.06;-11.290;do
783.98;-11.170;do
788.16;-10.900;do
791.45;-10.530;do
795.17;-10.210;do
798.33;-10.080;do
802.00;-9.890;do
805.62;-9.820;do
809.46;-9.790;do
813.44;-9.630;do
817.44;-9.580;do
821.40;-9.550;do
825.54;-9.490;do
829.51;-9.360;do
833.46;-9.330;do
837.50;-9.280;do
841.50;-9.150;do
845.34;-9.070;do
849.42;-8.960;do
853.55;-8.780;do
857.42;-8.750;do
861.40;-8.680;do
865.48;-7.960;do
869.49;-7.780;do
873.48;-7.590;do
877.43;-7.460;do
881.60;-7.030;do
885.43;-7.000;do
889.60;-6.820;do
893.48;-6.810;do
897.50;-6.760;do
901.49;-6.710;do
905.60;-6.600;do
909.58;-6.590;do
913.52;-6.530;do
917.53;-6.500;do
921.51;-6.450;do
925.57;-6.370;do
929.57;-5.960;do
933.54;-5.490;do
937.54;-5.060;do
941.57;-4.770;do
945.63;-4.650;do
949.65;-3.960;do
953.66;-3.690;do
957.68;-3.670;do
961.72;-2.660;do
965.78;-1.380;do
969.93;-1.000;do
973.13;-0.480;do
975.92;-0.090;do
977.74;0.770;do
978.91;1.000;do
981.53;1.420;bo
982.96;1.870;bo
985.80;1.820;bo
987.50;1.450;bo
988.90;1.320;bo
991.98;1.380;bo
994.96;1.300;bo
996.02;0.460;bo
996.87;-0.540;bo
1001.13;-0.540;bo
1005.77;-0.540;bo
1009.93;-0.540;bo
