y_m;z_m;kind
0.00;2.140;bo
4.00;2.160;bo
9.00;2.180;bo
14.00;2.190;bo
17.00;2.180;bo
20.50;2.150;do
25.35;2.324;do
27.34;1.250;do
30.34;0.880;do
32.84;-0.420;do
36.85;-0.860;do
40.86;-1.270;do
43.52;-1.450;do
47.68;-1.820;do
51.74;-2.120;do
55.71;-2.250;do
59.71;-2.380;do
63.82;-2.510;do
67.73;-2.610;do
71.69;-2.680;do
75.79;-2.750;do
79.78;-3.120;do
83.74;-2.860;do
87.77;-2.920;do
91.68;-2.960;do
95.71;-2.990;do
99.77;-3.270;do
103.69;-3.590;do
107.97;-5.860;do
111.73;-7.230;do
115.72;-8.360;do
119.78;-9.520;do
123.72;-10.310;do
127.68;-10.640;do
131.70;-10.950;do
135.79;-11.140;do
139.70;-11.200;do
143.76;-11.140;do
147.71;-11.030;do
151.74;-10.780;do
155.76;-10.530;do
159.74;-10.270;do
163.70;-10.070;do
167.68;-9.790;do
171.71;-9.590;do
175.72;-9.220;do
179.68;-8.820;do
183.70;-8.300;do
187.75;-7.890;do
191.69;-7.600;do
195.71;-7.310;do
199.73;-7.000;do
203.69;-6.890;do
207.69;-6.870;do
211.73;-6.910;do
215.76;-7.060;do
219.75;-7.470;do
223.73;-8.060;do
227.76;-8.620;do
231.79;-9.160;do
235.76;-9.580;do
239.68;-9.830;do
243.72;-9.970;do
247.69;-9.930;do
251.75;-9.790;do
255.73;-9.520;do
259.75;-9.350;do
263.79;-9.460;do
267.75;-9.570;do
271.71;-9.860;do
275.68;-10.240;do
279.76;-11.050;do
283.74;-11.980;do
287.80;-12.580;do
291.72;-13.030;do
295.72;-13.360;do
299.79;-13.720;do
303.69;-14.290;do
307.73;-14.860;do
311.71;-15.030;do
315.72;-14.950;do
319.73;-15.010;do
323.75;-15.070;do
327.84;-15.010;do
331.80;-15.090;do
335.72;-15.040;do
339.77;-14.970;do
343.81;-14.880;do
347.78;-14.800;do
351.73;-14.840;do
355.77;-14.730;do
359.74;-14.590;do
363.75;-14.600;do
367.72;-14.790;do
371.68;-14.290;do
375.69;-13.920;do
379.74;-13.800;do
383.76;-13.680;do
387.74;-13.290;do
391.71;-13.030;do
395.78;-12.930;do
399.80;-12.930;do
403.74;-12.820;do
407.76;-11.900;do
411.70;-11.960;do
415.74;-12.260;do
419.80;-12.270;do
423.70;-11.640;do
427.71;-11.760;do
431.79;-12.030;do
435.74;-11.940;do
439.75;-11.810;do
443.69;-11.810;do
447.67;-11.900;do
451.71;-11.980;do
455.77;-12.060;do
459.80;-12.070;do
463.76;-12.080;do
467.70;-12.180;do
471.76;-12.200;do
475.73;-12.650;do
479.69;-11.630;do
483.71;-10.920;do
487.74;-10.010;do
491.72;-8.880;do
495.72;-7.750;do
499.72;-6.500;do
503.71;-5.520;do
507.77;-4.630;do
511.68;-3.910;do
515.77;-2.960;do
519.70;-2.230;do
523.69;-1.740;do
527.77;-1.240;do
531.76;-1.150;do
535.78;-0.910;do
539.78;-0.830;do
543.72;-0.810;do
547.77;-0.780;do
551.72;-0.750;do
555.73;-0.760;do
559.72;-0.800;do
563.78;-1.040;do
567.74;-1.100;do
571.75;-1.110;do
575.75;-1.220;do
579.78;-0.930;do
583.71;-0.950;do
587.72;-0.840;do
591.69;-1.340;do
595.75;-1.340;do
599.70;-1.210;do
603.68;-1.940;do
607.68;-1.200;do
611.69;-0.370;do
615.70;0.130;do
617.83;1.200;do
618.71;2.840;do
621.97;2.940;do
626.56;2.700;do
629.82;1.660;do
633.82;1.640;bo
637.82;1.610;bo
641.82;1.560;bo
645.82;1.580;bo
649.82;1.600;bo
