y_m;z_m;kind
0.00;3.540;bo
2.29;3.510;bo
5.00;3.420;bo
7.96;2.820;bo
10.43;2.650;do
14.32;1.720;do
18.11;1.530;do
21.94;1.490;do
25.34;1.420;do
28.16;1.370;do
31.13;1.120;do
34.31;0.650;do
37.62;0.220;do
41.07;-0.090;do
44.48;-0.330;do
47.74;-0.640;do
52.33;-2.940;do
56.53;-4.240;do
60.60;-5.300;do
63.89;-6.500;do
67.81;-6.680;do
71.87;-6.830;do
75.75;-6.970;do
79.77;-7.020;do
83.90;-7.070;do
87.88;-7.150;do
91.86;-7.160;do
95.89;-7.020;do
99.76;-6.980;do
103.84;-6.960;do
107.78;-6.940;do
111.85;-6.920;do
115.84;-6.770;do
119.83;-6.690;do
123.77;-6.480;do
127.84;-6.310;do
131.79;-6.000;do
135.87;-5.720;do
139.74;-5.510;do
143.88;-5.370;do
147.95;-5.110;do
151.92;-4.350;do
155.82;-3.950;do
159.88;-3.720;do
163.83;-3.620;do
167.80;-3.600;do
171.89;-3.580;do
175.80;-3.560;do
179.91;-3.540;do
183.81;-3.520;do
187.78;-3.500;do
191.69;-3.480;do
195.84;-3.460;do
199.85;-3.330;do
203.84;-3.260;do
207.88;-3.050;do
211.77;-2.980;do
215.77;-2.820;do
219.78;-2.800;do
223.79;-2.700;do
227.86;-2.680;do
231.70;-2.660;do
235.76;-2.640;do
239.78;-2.620;do
244.02;-2.600;do
247.47;-2.580;do
251.46;-2.290;do
255.49;-1.750;do
259.54;-1.230;do
263.56;-0.660;do
267.22;-0.160;do
269.80;0.670;do
274.55;1.080;do
278.80;1.630;do
283.50;2.200;do
286.74;2.970;bo
289.71;3.820;bo
293.09;3.830;bo
