y_m;z_m;kind
0.00;2.520;bo
3.00;2.480;bo
5.56;2.240;bo
10.44;2.440;bo
15.18;2.310;bo
15.59;2.500;bo
19.10;2.614;bo
22.76;2.630;do
23.17;0.700;do
24.27;-1.100;do
29.17;-1.470;do
34.20;-1.700;do
39.18;-2.520;do
44.18;-3.340;do
49.17;-4.000;do
54.21;-4.700;do
59.23;-5.130;do
64.19;-5.560;do
69.24;-6.190;do
74.27;-6.500;do
79.26;-6.840;do
84.19;-7.300;do
89.19;-7.560;do
94.21;-7.730;do
99.35;-8.080;do
104.18;-8.180;do
109.27;-8.390;do
114.33;-8.480;do
119.23;-8.610;do
124.64;-8.720;do
129.20;-8.810;do
134.36;-9.150;do
139.26;-9.490;do
144.21;-9.730;do
149.26;-9.880;do
154.28;-9.950;do
158.83;-10.020;do
164.20;-10.240;do
169.36;-10.430;do
174.31;-10.500;do
179.24;-10.670;do
184.33;-10.830;do
189.18;-10.850;do
194.52;-11.220;do
199.26;-11.180;do
203.14;-11.230;do
206.19;-11.250;do
209.19;-11.270;do
214.35;-11.290;do
219.33;-11.520;do
224.31;-11.620;do
229.20;-11.840;do
234.98;-11.880;do
239.21;-11.970;do
244.32;-12.020;do
249.52;-12.150;do
254.50;-12.180;do
260.16;-12.210;do
265.25;-12.230;do
270.02;-12.230;do
275.26;-12.240;do
279.26;-12.240;do
284.61;-13.100;do
289.33;-13.130;do
293.80;-13.150;do
298.51;-12.970;do
304.35;-12.840;do
308.94;-12.820;do
311.43;-12.650;do
314.55;-12.580;do
319.80;-12.550;do
324.34;-12.410;do
329.24;-12.390;do
334.40;-12.110;do
339.27;-12.130;do
344.26;-12.340;do
348.55;-12.410;do
354.49;-12.520;do
359.07;-12.570;do
364.26;-12.670;do
369.60;-12.720;do
374.33;-12.820;do
379.30;-12.860;do
384.34;-13.190;do
389.36;-13.630;do
394.43;-14.100;do
399.40;-14.250;do
404.33;-14.180;do
409.32;-14.210;do
414.40;-14.120;do
419.33;-14.110;do
424.33;-14.030;do
429.31;-14.050;do
434.36;-14.020;do
439.44;-13.780;do
444.37;-14.100;do
449.33;-14.410;do
454.38;-14.490;do
459.39;-14.330;do
464.41;-14.330;do
469.35;-14.340;do
474.34;-14.440;do
479.43;-14.410;do
484.37;-14.560;do
489.32;-14.620;do
494.40;-14.740;do
499.29;-14.840;do
504.32;-14.450;do
509.28;-14.470;do
514.43;-14.270;do
519.43;-14.270;do
524.31;-14.620;do
529.31;-14.860;do
534.72;-14.780;do
539.50;-14.670;do
544.68;-13.960;do
549.46;-13.880;do
554.50;-13.080;do
559.85;-12.240;do
564.54;-11.380;do
569.55;-11.430;do
574.53;-11.120;do
579.49;-11.260;do
584.44;-10.860;do
589.94;-9.240;do
595.04;-8.820;do
599.62;-7.670;do
604.62;-5.950;do
609.58;-3.670;do
614.49;-2.650;do
620.25;-2.530;do
624.91;-2.410;do
629.27;-2.250;do
634.64;-2.120;do
638.98;-1.980;do
644.75;-1.790;do
649.67;-1.610;do
654.71;-1.820;do
659.70;-2.000;do
664.70;-2.190;do
669.66;-2.960;do
674.66;-3.510;do
679.69;-3.500;do
684.70;-1.890;do
689.68;-1.040;do
694.65;-0.580;do
698.93;0.670;do
700.00;2.110;do
705.00;2.150;do
709.00;2.030;bo
713.00;2.180;bo
716.70;2.090;bo
720.70;2.140;bo
724.70;2.230;bo
728.45;2.250;bo
