y_m;z_m;kind
0.00;3.460;bo
4.33;3.430;bo
8.26;3.410;bo
12.38;3.370;bo
16.63;3.330;bo
20.75;3.280;bo
25.56;2.070;bo
26.62;1.190;bo
29.73;0.670;bo
32.99;0.210;bo
36.28;-0.270;do
37.78;-1.120;do
42.14;-3.630;do
46.31;-4.920;do
50.44;-6.000;do
54.54;-6.840;do
58.66;-7.770;do
62.80;-8.560;do
66.82;-9.560;do
70.97;-10.230;do
74.89;-10.540;do
78.99;-10.840;do
82.95;-11.570;do
86.96;-11.600;do
90.88;-11.630;do
94.84;-11.660;do
98.16;-11.690;do
102.28;-12.020;do
106.24;-12.270;do
110.18;-12.830;do
114.24;-12.860;do
118.24;-13.070;do
122.32;-13.130;do
126.16;-13.150;do
130.21;-13.160;do
134.31;-13.170;do
138.18;-13.180;do
142.24;-13.170;do
146.37;-12.970;do
150.08;-12.190;do
154.22;-11.970;do
158.26;-11.860;do
160.52;-11.780;do
164.58;-11.750;do
168.46;-11.860;do
172.52;-11.980;do
176.46;-12.240;do
180.50;-12.480;do
184.65;-12.760;do
188.55;-12.960;do
192.62;-13.170;do
196.53;-13.300;do
200.65;-13.400;do
204.48;-13.400;do
208.59;-13.410;do
212.65;-13.450;do
216.52;-13.550;do
220.58;-13.610;do
224.46;-13.740;do
228.48;-13.790;do
232.57;-13.810;do
236.60;-13.720;do
240.48;-13.510;do
244.50;-13.350;do
248.64;-13.320;do
252.47;-13.290;do
256.55;-13.260;do
260.61;-13.230;do
264.49;-13.200;do
268.64;-13.170;do
273.64;-13.160;do
277.65;-13.150;do
281.75;-13.180;do
285.76;-13.300;do
289.86;-13.470;do
293.67;-13.540;do
297.84;-13.610;do
301.87;-13.680;do
305.70;-13.750;do
309.70;-13.830;do
313.76;-14.010;do
317.75;-14.050;do
321.75;-14.090;do
325.77;-14.740;do
329.82;-15.180;do
333.81;-15.200;do
337.66;-15.220;do
341.71;-15.240;do
345.69;-15.320;do
349.68;-15.390;do
353.72;-15.460;do
357.78;-15.530;do
361.82;-15.730;do
365.69;-15.870;do
369.75;-15.770;do
373.76;-15.750;do
377.80;-15.730;do
381.84;-15.640;do
385.78;-15.580;do
389.79;-15.010;do
393.77;-14.890;do
397.73;-14.470;do
401.75;-14.460;do
405.74;-14.380;do
409.70;-14.350;do
413.74;-14.300;do
417.75;-14.230;do
421.72;-14.160;do
425.68;-14.130;do
429.70;-14.110;do
433.69;-14.100;do
437.74;-14.050;do
441.75;-13.900;do
445.74;-13.700;do
449.80;-13.660;do
453.86;-13.640;do
457.64;-13.620;do
461.68;-13.420;do
465.65;-13.190;do
469.73;-13.180;do
473.81;-13.170;do
477.82;-13.160;do
481.78;-13.150;do
485.77;-13.140;do
489.78;-13.130;do
493.73;-13.120;do
497.78;-13.110;do
501.80;-13.100;do
505.85;-13.090;do
509.68;-13.080;do
513.72;-13.070;do
517.75;-13.060;do
521.69;-13.050;do
525.78;-13.040;do
529.70;-13.030;do
533.79;-13.020;do
537.64;-13.010;do
541.64;-12.980;do
545.68;-12.850;do
549.94;-12.840;do
553.97;-12.830;do
557.97;-12.990;do
561.96;-12.650;do
566.00;-13.690;do
569.96;-14.020;do
573.95;-14.160;do
578.10;-14.300;do
582.00;-14.330;do
585.97;-14.460;do
590.10;-14.630;do
594.01;-14.680;do
597.99;-14.660;do
602.12;-14.660;do
606.06;-14.730;do
610.01;-14.730;do
614.01;-14.680;do
617.97;-14.520;do
621.93;-14.540;do
626.68;-14.500;do
630.68;-14.480;do
634.74;-14.430;do
638.85;-14.710;do
642.84;-14.750;do
646.69;-14.700;do
650.71;-14.970;do
654.85;-15.140;do
658.78;-15.130;do
662.86;-15.540;do
666.85;-15.540;do
670.75;-15.580;do
674.74;-15.850;do
678.86;-15.980;do
682.79;-16.060;do
686.69;-15.920;do
690.81;-15.770;do
694.77;-15.620;do
698.72;-15.430;do
702.83;-14.830;do
706.74;-14.550;do
710.84;-14.240;do
714.74;-13.960;do
718.68;-13.800;do
722.84;-13.500;do
726.81;-13.130;do
730.73;-12.730;do
734.73;-12.450;do
738.86;-12.140;do
742.85;-11.740;do
747.03;-10.950;do
750.97;-10.850;do
754.88;-10.830;do
758.79;-10.810;do
762.92;-10.760;do
766.85;-10.690;do
770.76;-10.650;do
774.94;-10.640;do
778.85;-10.630;do
782.82;-10.620;do
786.83;-10.610;do
790.86;-10.600;do
794.86;-10.590;do
798.88;-10.580;do
802.88;-10.570;do
806.86;-10.560;do
810.86;-10.280;do
814.83;-10.080;do
818.81;-9.720;do
822.77;-9.620;do
826.77;-9.600;do
830.74;-9.280;do
834.97;-9.020;do
838.90;-8.850;do
842.88;-8.830;do
846.84;-8.810;do
850.87;-8.790;do
854.87;-8.770;do
858.85;-8.740;do
862.88;-8.490;do
866.93;-8.470;do
870.94;-8.450;do
874.95;-8.430;do
878.81;-8.410;do
882.77;-8.390;do
886.82;-8.370;do
890.77;-8.350;do
894.87;-8.330;do
899.01;-8.300;do
902.81;-8.270;do
906.94;-8.220;do
910.94;-8.190;do
914.83;-8.100;do
919.00;-7.920;do
922.99;-7.920;do
926.91;-7.830;do
930.84;-7.870;do
935.01;-7.940;do
938.92;-7.970;do
942.87;-7.980;do
946.87;-7.990;do
950.82;-8.030;do
955.00;-8.050;do
959.02;-8.070;do
962.93;-8.090;do
966.82;-8.110;do
971.02;-8.130;do
975.04;-8.150;do
979.04;-8.260;do
982.83;-8.400;do
986.97;-8.410;do
990.82;-8.420;do
994.93;-8.470;do
1000.17;-8.550;do
1004.34;-8.600;do
1008.32;-8.640;do
1012.28;-8.860;do
1016.22;-9.030;do
1020.20;-9.060;do
1024.15;-9.080;do
1028.25;-9.090;do
1032.25;-8.970;do
1036.14;-8.820;do
1040.14;-8.740;do
1044.20;-8.660;do
1048.12;-8.580;do
1052.23;-8.500;do
1056.20;-8.420;do
1060.12;-8.340;do
1064.19;-8.260;do
1068.21;-8.180;do
1072.22;-6.870;do
1076.32;-4.900;bo
1080.44;-2.230;bo
1085.00;-0.170;bo
1088.24;0.550;bo
1092.87;2.670;bo
1097.11;2.690;bo
1101.04;2.730;bo
1104.58;2.770;bo
1107.65;2.840;bo
