y_m;z_m;kind
0.00;2.720;bo
4.10;2.710;bo
8.01;2.690;bo
12.01;2.670;bo
16.77;2.780;bo
20.68;2.910;bo
24.24;2.940;do
25.10;1.910;do
27.18;1.600;do
30.25;1.110;do
33.35;-0.810;do
34.63;-1.910;do
38.81;-3.450;do
42.97;-4.520;do
46.80;-5.760;do
51.30;-6.960;do
55.22;-7.180;do
59.19;-7.320;do
63.14;-7.470;do
67.36;-8.970;do
71.55;-10.180;do
75.58;-11.080;do
79.61;-11.560;do
83.64;-12.020;do
87.72;-12.040;do
91.60;-12.060;do
95.64;-12.080;do
99.65;-12.100;do
103.39;-12.120;do
107.32;-12.140;do
111.30;-12.160;do
115.29;-12.170;do
117.86;-12.120;do
122.03;-12.080;do
125.49;-12.050;do
129.36;-12.040;do
133.22;-12.020;do
137.09;-12.000;do
140.95;-11.960;do
144.82;-11.910;do
148.68;-11.900;do
152.55;-11.870;do
156.41;-11.810;do
160.28;-11.780;do
164.14;-11.800;do
168.01;-11.830;do
171.87;-11.860;do
175.80;-11.880;do
179.69;-11.940;do
183.58;-12.030;do
187.48;-12.050;do
191.25;-11.980;do
195.11;-11.910;do
199.12;-11.840;do
202.97;-11.770;do
206.76;-11.700;do
210.77;-11.630;do
214.53;-11.560;do
218.61;-11.490;do
222.40;-11.420;do
226.24;-11.350;do
230.19;-11.280;do
234.10;-11.210;do
237.92;-11.140;do
241.67;-11.070;do
245.57;-11.000;do
249.57;-10.930;do
253.51;-10.920;do
257.25;-10.910;do
261.10;-10.900;do
264.99;-10.890;do
268.86;-10.880;do
272.89;-10.870;do
276.66;-10.860;do
280.52;-10.850;do
284.52;-10.840;do
288.22;-10.830;do
292.20;-10.820;do
295.98;-10.810;do
299.96;-10.800;do
303.91;-10.790;do
307.68;-10.780;do
311.63;-10.770;do
315.39;-10.760;do
319.34;-10.750;do
323.38;-10.710;do
327.15;-10.580;do
330.89;-10.480;do
334.92;-10.300;do
338.66;-10.250;do
342.69;-10.210;do
346.46;-10.200;do
350.48;-10.190;do
354.24;-10.180;do
358.09;-10.170;do
362.03;-10.160;do
366.05;-10.150;do
369.83;-10.140;do
373.64;-10.130;do
377.65;-10.120;do
381.37;-10.110;do
385.38;-10.100;do
389.16;-10.090;do
393.19;-10.080;do
396.92;-10.070;do
400.77;-10.100;do
404.75;-10.420;do
408.55;-10.470;do
412.58;-10.520;do
416.30;-10.570;do
420.32;-10.620;do
424.09;-10.670;do
428.04;-10.720;do
431.98;-10.770;do
435.73;-10.820;do
439.67;-10.870;do
443.61;-10.920;do
447.53;-10.970;do
451.27;-11.020;do
455.15;-11.070;do
458.97;-11.120;do
462.83;-11.170;do
466.81;-11.220;do
470.74;-11.270;do
474.46;-11.320;do
478.40;-11.370;do
482.32;-11.420;do
486.25;-11.460;do
490.17;-11.550;do
493.93;-11.640;do
497.86;-11.730;do
501.82;-12.130;do
505.54;-12.260;do
509.48;-12.330;do
513.43;-12.340;do
517.10;-12.350;do
521.05;-12.350;do
525.00;-12.330;do
528.94;-12.310;do
534.03;-12.290;do
538.58;-12.270;do
542.55;-12.250;do
546.31;-12.230;do
550.31;-12.210;do
554.01;-12.190;do
557.92;-12.170;do
561.92;-12.150;do
565.63;-12.130;do
569.62;-12.110;do
573.58;-12.090;do
577.33;-12.070;do
581.29;-12.050;do
585.04;-12.030;do
589.04;-11.940;do
592.94;-11.910;do
596.70;-11.880;do
600.64;-11.850;do
604.63;-11.820;do
608.38;-11.790;do
612.31;-11.760;do
616.27;-11.730;do
620.01;-11.700;do
623.94;-11.670;do
627.93;-11.640;do
631.62;-11.610;do
635.61;-11.540;do
639.49;-11.350;do
643.35;-11.300;do
647.36;-11.200;do
651.11;-11.160;do
655.03;-11.120;do
658.81;-11.080;do
662.77;-11.040;do
666.64;-10.670;do
670.52;-10.390;do
674.36;-10.230;do
678.26;-10.200;do
682.10;-9.450;do
686.02;-9.410;do
689.89;-8.840;do
693.74;-7.340;do
697.68;-6.060;do
701.51;-4.610;do
705.41;-3.780;do
709.30;-2.310;do
713.18;-0.160;do
715.07;1.020;do
716.07;5.010;do
720.06;5.020;bo
723.88;5.030;bo
727.79;5.020;bo
731.70;5.010;bo
735.33;5.010;bo
738.96;5.000;bo
