y_m;z_m;kind
0.00;1.740;bo
4.22;1.720;bo
8.13;1.710;do
12.04;1.700;do
16.04;1.680;do
20.04;1.670;do
23.61;1.610;do
25.05;1.480;do
28.48;1.310;do
30.44;1.150;do
33.44;1.140;do
37.04;1.140;do
41.11;0.520;do
43.35;0.240;do
47.27;0.130;do
51.27;-0.100;do
55.37;-0.530;do
59.30;-0.700;do
63.39;-1.530;do
67.36;-2.120;do
71.42;-2.570;do
74.95;-3.270;do
78.93;-3.810;do
82.29;-4.520;do
86.15;-4.960;do
90.12;-5.560;do
94.10;-5.970;do
98.07;-6.360;do
102.90;-6.730;do
106.87;-7.060;do
110.08;-7.360;do
114.05;-7.710;do
118.00;-7.970;do
121.97;-8.140;do
126.00;-8.270;do
129.92;-8.440;do
133.90;-8.510;do
137.96;-8.670;do
141.88;-8.860;do
145.94;-8.780;do
150.56;-8.380;do
154.53;-7.980;do
158.45;-7.580;do
162.51;-7.180;do
166.45;-5.780;do
170.49;-4.380;do
174.47;-2.980;do
178.49;-1.580;do
183.34;1.120;do
185.08;2.220;do
185.55;2.930;do
189.08;2.960;do
192.58;2.910;do
197.02;2.880;do
200.67;2.780;do
204.68;2.770;do
208.67;2.760;do
212.58;2.740;do
216.68;2.710;do
220.58;2.700;bo
224.66;2.680;bo
