shp_name;base;suffix;role;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;co_z
VN1;VN1;;chinh;538397.2;1184279.2;Tien_2;22940.2;67.5;yes
VN2;VN2;;chinh;536935.6;1179672.5;VamNao;6117.2;54.6;yes
VN6;VN6;;chinh;536050.0;1165490.9;VamNao;23011.6;23.1;yes
VN1;VN1;;chinh;538397.2;1184279.2;Tien_2;22940.2;67.5;yes
VN4;VN4;;chinh;539197.3;1171731.9;VamNao;14486.0;5.4;yes
SWat Lo;SWat Lo;;dac_biet;538630.9;1172025.6;VamNao;13997.1;403.2;no
VN3;VN3;;chinh;537626.9;1175126.8;VamNao;10749.7;108.8;yes
VN5;VN5;;chinh;539766.6;1168423.4;VamNao;18163.9;21.0;yes
ST8;ST8;;chinh;543231.5;1176835.0;Tien;42170.4;37.2;yes
ST33A;ST33;A;nhanh_AB;647151.6;1143785.7;Tien;176151.4;5.2;yes
ST43CT;ST43;CT;nhanh_phu;691069.2;1135342.8;CuaTieu;34426.1;25.5;no
ST42CT;ST42;CT;nhanh_phu;686765.0;1136726.6;CuaTieu;29884.0;29.6;no
ST33AP1;ST33;AP1;khac;647606.9;1142650.1;Tien_9;7316.4;6.4;yes
ST33P2;ST33;P2;nhanh_phu;647811.1;1142072.8;Tien_8;1105.1;20.9;yes
ST41CT;ST41;CT;nhanh_phu;683131.7;1138064.3;CuaTieu;25390.6;104.2;no
ST43CD;ST43;CD;nhanh_phu;690442.5;1127637.6;CuaDai;34527.0;73.5;no
ST42CD;ST42;CD;nhanh_phu;686252.3;1129944.3;CuaDai;29738.3;185.9;no
ST41CD;ST41;CD;nhanh_phu;681384.7;1131270.0;CuaDai;24483.7;167.4;no
ST41CDP1;ST41;CDP1;nhanh_phu;681683.9;1132522.3;CuaDai_3;1573.7;89.5;no
ST41CDP2;ST41;CDP2;nhanh_phu;681942.5;1133743.0;CuaDai_2;16049.6;1.9;no
ST40CD;ST40;CD;nhanh_phu;676837.3;1133218.9;CuaDai;19456.4;176.3;no
ST40CT;ST40;CT;nhanh_phu;678070.1;1137318.7;CuaTieu;19452.7;88.0;no
ST39CD;ST39;CD;nhanh_phu;671708.9;1134337.5;CuaDai;14184.8;66.0;no
ST39CT;ST39;CT;nhanh_phu;672522.3;1137620.5;CuaTieu;13846.4;106.0;no
ST38CD;ST38;CD;nhanh_phu;667095.9;1135642.7;CuaDai;9389.1;0.3;no
ST38CDP;ST38;CDP;nhanh_phu;667183.4;1136832.7;CuaDai_2;834.0;14.8;no
ST38CT;ST38;CT;nhanh_phu;667960.7;1139200.2;CuaTieu;8993.7;15.2;no
ST37CD;ST37;CD;nhanh_phu;662095.3;1137187.8;CuaDai;4129.1;143.7;no
ST37CDP;ST37;CDP;nhanh_phu;662825.0;1138846.4;CuaDai_1;1164.7;1.2;no
ST37CT;ST37;CT;nhanh_phu;662966.9;1139893.9;CuaTieu;3929.1;27.6;no
ST36;ST36;;chinh;657593.3;1140196.7;Tien;188038.0;37.4;yes
ST35;ST35;;chinh;654133.8;1142341.9;Tien;183962.9;45.6;yes
ST34;ST34;;chinh;650117.9;1143139.0;Tien_8;3859.1;37.0;yes
Sat Lo;Sat Lo;;dac_biet;649905.7;1144072.3;Tien;178960.6;393.3;no
ST34p;ST34;p;nhanh_phu;650201.0;1144429.8;Tien_7;1483.8;16.9;yes
Sat Lo;Sat Lo;;dac_biet;650327.0;1144272.7;Tien_7;1636.6;143.8;no
ST33P;ST33;P;nhanh_phu;643247.8;1141045.8;Tien_9;2608.8;10.5;yes
ST33;ST33;;chinh;642432.6;1142694.0;Tien;171308.2;46.0;yes
ST32;ST32;;chinh;637752.6;1141361.4;Tien;166417.2;30.9;yes
ST31;ST31;;chinh;631143.8;1139952.3;Tien;159523.9;16.5;yes
ST31P;ST31;P;nhanh_phu;630791.3;1140647.8;NamThon;15296.4;4.7;yes
ST30;ST30;;chinh;626151.3;1137399.9;Tien;153904.0;17.6;yes
ST29;ST29;;chinh;621725.3;1137023.4;Tien;149390.1;77.2;yes
ST28P2;ST28;P2;nhanh_phu;620534.0;1136622.5;Tien;148096.2;11.7;yes
ST28p1;ST28;p1;nhanh_phu;620383.2;1137410.3;CaiBe_TG;10810.0;19.4;yes
ST28;ST28;;chinh;616793.7;1136915.3;Tien;144056.1;12.9;yes
ST27;ST27;;chinh;611346.7;1140198.3;Tien;137687.7;278.3;yes
Sat Lo;Sat Lo;;dac_biet;612005.9;1140908.2;CaiBe_TG;854.9;305.3;no
ST27p;ST27;p;nhanh_phu;611828.0;1141157.8;CaiBe_TG;782.9;7.4;yes
ST26;ST26;;chinh;609244.7;1141696.3;Tien;134975.1;11.2;yes
ST25;ST25;;chinh;604005.0;1139107.1;Tien;128192.5;129.6;yes
ST24;ST24;;chinh;599913.9;1136305.3;Tien;123017.2;28.3;yes
ST23P;ST23;P;nhanh_phu;597488.8;1135603.2;Lap Vo;0.0;83.0;yes
ST23;ST23;;chinh;595923.3;1137697.0;Tien;118257.5;50.4;yes
ST22;ST22;;chinh;591649.3;1138544.3;Tien;113833.3;34.6;yes
ST21;ST21;;chinh;586507.2;1137237.3;Tien;108411.4;54.7;yes
ST20;ST20;;chinh;583967.3;1139895.7;Tien;104582.7;18.2;yes
ST19;ST19;;chinh;582121.1;1145129.6;Tien;98982.9;124.9;yes
ST18;ST18;;chinh;578912.2;1148653.1;Tien;94034.5;116.5;yes
Sat Lo;Sat Lo;;dac_biet;574071.7;1151231.6;Tien;88612.9;466.3;no
ST17;ST17;;chinh;574488.3;1150558.0;Tien;89124.7;138.1;yes
ST16P;ST16;P;nhanh_phu;571744.7;1150971.5;Tien;86342.1;81.8;yes
ST16;ST16;;chinh;569286.2;1151066.5;Tien;83873.6;39.4;yes
Sat Lo;Sat Lo;;dac_biet;566628.5;1154078.0;Tien_6;1842.2;147.5;no
ST15;ST15;;chinh;565184.9;1150885.3;Tien_5;5266.9;11.2;yes
ST15p1;ST15;p1;nhanh_phu;565645.8;1151554.1;Tien;79708.2;26.4;yes
ST15p2;ST15;p2;nhanh_phu;566640.4;1153855.6;Tien_6;1939.8;46.7;yes
ST14P;ST14;P;nhanh_phu;562405.3;1152838.3;Tien_4;15478.8;3.7;yes
ST14;ST14;;chinh;562849.0;1156381.6;Tien;73722.7;25.3;yes
Sat Lo;Sat Lo;;dac_biet;559431.1;1164316.9;Tien;65045.8;239.7;no
ST13;ST13;;chinh;561663.4;1160480.9;Tien;69411.2;56.4;yes
st12P;st12;P;nhanh_phu;559068.3;1164152.6;Tien;64790.3;65.8;yes
ST12P;ST12;P;nhanh_phu;553574.5;1162426.9;Tien_4;1940.4;140.9;yes
ST12;ST12;;chinh;555155.4;1164284.4;Tien;60766.3;5.5;yes
ST11;ST11;;chinh;551770.0;1164873.5;Tien;57300.6;87.2;yes
ST10;ST10;;chinh;548184.0;1167424.1;Tien;52836.5;20.1;yes
ST9;ST9;;chinh;545516.9;1171973.5;Tien;47553.6;21.5;yes
ST4;ST4;;chinh;527079.5;1194297.8;Tien;14581.0;21.1;yes
ST7;ST7;;chinh;541286.9;1181897.7;Tien;36744.7;27.2;yes
ST5P;ST5;P;nhanh_phu;533320.9;1196304.2;Tien_3;4674.3;29.9;yes
ST5;ST5;;chinh;533866.6;1191661.9;Tien;22080.9;47.9;yes
ST6;ST6;;chinh;538957.2;1188946.4;Tien;29064.8;97.6;yes
ST3;ST3;;chinh;523936.6;1196977.5;Tien;10062.4;153.5;yes
