ten;so_doan;so_diem_moi_doan;giu;ly_do
Ba Ke;18;2|2|2|2|2|2|2|2|3|3|3|2|2|3|3|2|2|2;GIU;co_mat_cat_mike
K. 14-9;8;3|2|2|2|2|2|4|2;GIU;co_mat_cat_mike
Ranh Hat;8;3|2|2|2|2|3|2|2;GIU;co_mat_cat_mike
Tan Hiep;8;2|2|2|2|2|2|2|2;GIU;co_mat_cat_mike
K7 AG;7;14|3|2|2|2|2|5;GIU;co_mat_cat_mike
Sa Di;7;5|2|3|2|2|2|5;GIU;co_mat_cat_mike
K9 AG;6;2|2|2|2|2|3;GIU;co_mat_cat_mike
No.3000;6;2|2|2|2|2|2;GIU;co_mat_cat_mike
No.5000;6;2|2|2|2|2|2;GIU;co_mat_cat_mike
Sa Lon;6;2|2|2|4|3|2;GIU;co_mat_cat_mike
U-QLPH8;6;2|2|2|2|2|2;GIU;co_mat_cat_mike
Vinh Phong;6;2|2|2|2|2|2;GIU;co_mat_cat_mike
Ba Kieng;5;7|2|3|2|3;GIU;co_mat_cat_mike
Cay Me;5;2|3|6|4|2;GIU;co_mat_cat_mike
K2-9;5;27|3|2|2|2;GIU;co_mat_cat_mike
KH;5;3|2|2|3|2;GIU;co_mat_cat_mike
Tan Cong Chi;5;3|2|2|2|2;GIU;co_mat_cat_mike
U-QLPH19;5;3|2|2|2|2;GIU;co_mat_cat_mike
Ba The Moi;4;2|4|3|4;GIU;co_mat_cat_mike
Bon Tong;4;2|2|3|3;GIU;co_mat_cat_mike
Bung Coc;4;4|2|2|2;GIU;co_mat_cat_mike
Hau Giang 3;4;3|11|4|8;GIU;co_mat_cat_mike
K10 AG;4;11|2|5|4;GIU;co_mat_cat_mike
K8000;4;4|3|2|3;GIU;co_mat_cat_mike
KA;4;2|2|2|2;GIU;co_mat_cat_mike
Khang Chien;4;2|6|6|3;GIU;co_mat_cat_mike
PTN 1000;4;2|2|2|2;GIU;co_mat_cat_mike
Saintenoy;4;3|2|3|2;GIU;co_mat_cat_mike
Tha La;4;2|3|3|2;GIU;co_mat_cat_mike
Xeo Mon;4;9|2|4|17;GIU;co_mat_cat_mike
Ba Rinh CMP_Moi;3;2|2|3;GIU;co_mat_cat_mike
Bay Thuoc;3;2|2|2;GIU;co_mat_cat_mike
BDSauHy;3;2|4|2;GIU;co_mat_cat_mike
Binh Thanh;3;2|2|2;GIU;co_mat_cat_mike
Bon Thuoc;3;3|2|2;GIU;co_mat_cat_mike
CDXDong;3;2|14|7;GIU;co_mat_cat_mike
Duong Thet;3;10|2|3;GIU;co_mat_cat_mike
K. Lang Tram;3;3|3|2;GIU;co_mat_cat_mike
K. Tan Phong;3;2|4|2;GIU;co_mat_cat_mike
K6;3;21|4|2;GIU;co_mat_cat_mike
K79;3;3|7|2;GIU;co_mat_cat_mike
KB;3;2|2|2;GIU;co_mat_cat_mike
KCANHDENPHOSINH;3;3|10|3;GIU;co_mat_cat_mike
Le Le;3;3|2|3;GIU;co_mat_cat_mike
Lo Ca Lam A;3;4|6|2;GIU;co_mat_cat_mike
Mac Can Dung;3;8|2|49;GIU;co_mat_cat_mike
Mareng;3;9|2|8;GIU;co_mat_cat_mike
Muong Lo2;3;3|2|5;GIU;co_mat_cat_mike
Nang RenNho;3;2|2|2;GIU;co_mat_cat_mike
Nha Nuoc;3;2|4|3;GIU;co_mat_cat_mike
Nha Tho;3;5|2|2;GIU;co_mat_cat_mike
Phu Duc;3;2|2|2;GIU;co_mat_cat_mike
Phu Thanh;3;2|2|2;GIU;co_mat_cat_mike
Rach Sao;3;18|4|2;GIU;co_mat_cat_mike
Tan Cong Sinh;3;3|2|2;GIU;co_mat_cat_mike
TC Nhan;3;4|6|3;GIU;co_mat_cat_mike
Thay Nam;3;3|2|2;GIU;co_mat_cat_mike
Thay Pho;3;3|2|2;GIU;co_mat_cat_mike
Thi Doi;3;2|2|6;GIU;co_mat_cat_mike
3 Cui;2;33|4;GIU;co_mat_cat_mike
30-4;2;3|8;GIU;co_mat_cat_mike
9 Thuoc2;2;5|4;GIU;co_mat_cat_mike
An Binh AG;2;2|3;GIU;co_mat_cat_mike
An Tap;2;11|3;GIU;co_mat_cat_mike
Ba Hong Minh;2;17|5;GIU;co_mat_cat_mike
Ba Quy;2;2|3;GIU;co_mat_cat_mike
Bac Chan;2;3|8;GIU;co_mat_cat_mike
Bang Lang;2;4|3;GIU;co_mat_cat_mike
Bau Nau1;2;9|10;GIU;co_mat_cat_mike
Bay thuoc;2;2|3;GIU;co_mat_cat_mike
Binh Thanh4;2;8|2;GIU;co_mat_cat_mike
Binh Trung;2;3|2;GIU;co_mat_cat_mike
Bon Thuoc2;2;2|3;GIU;co_mat_cat_mike
BRTaLiem;2;3|14;GIU;co_mat_cat_mike
Bui Moi;2;2|3;GIU;co_mat_cat_mike
Bung Tuc;2;7|12;GIU;co_mat_cat_mike
Ca Dua;2;5|2;GIU;co_mat_cat_mike
Ca Duc;2;8|4;GIU;co_mat_cat_mike
Ca Gua;2;6|4;GIU;co_mat_cat_mike
Ca Nhip;2;3|2;GIU;co_mat_cat_mike
Ca Ro;2;16|11;GIU;co_mat_cat_mike
Ca Vinh;2;2|5;GIU;co_mat_cat_mike
Cai Bat;2;2|3;GIU;co_mat_cat_mike
Cai Beo;2;39|3;GIU;co_mat_cat_mike
Cai Cai;2;37|36;GIU;co_mat_cat_mike
Cai Cau;2;7|19;GIU;co_mat_cat_mike
Cai Da;2;10|2;GIU;co_mat_cat_mike
Cai San;2;25|4;GIU;co_mat_cat_mike
Cay Giua;2;2|3;GIU;co_mat_cat_mike
Cay Kho Lon;2;3|2;GIU;co_mat_cat_mike
CMP_Nang Mau 2;2;23|2;GIU;co_mat_cat_mike
CXNRo1;2;3|3;GIU;co_mat_cat_mike
De Nman;2;15|8;GIU;co_mat_cat_mike
Dong Binh;2;18|3;GIU;co_mat_cat_mike
Dong Tien;2;2|9;GIU;co_mat_cat_mike
Dung;2;2|2;GIU;co_mat_cat_mike
Duong Lang;2;3|2;GIU;co_mat_cat_mike
Giai Phong;2;2|4;GIU;co_mat_cat_mike
Giai Phong2;2;3|2;GIU;co_mat_cat_mike
Hoi Dong Tuong;2;12|2;GIU;co_mat_cat_mike
HTTNghia;2;3|3;GIU;co_mat_cat_mike
Hung Dien;2;7|2;GIU;co_mat_cat_mike
K. CCC4;2;2|3;GIU;co_mat_cat_mike
K. Phong Thanh Tay;2;5|5;GIU;co_mat_cat_mike
K. Tam Ngan;2;3|5;GIU;co_mat_cat_mike
K12;2;13|5;GIU;co_mat_cat_mike
K28;2;5|3;GIU;co_mat_cat_mike
K307;2;5|3;GIU;co_mat_cat_mike
K5;2;2|29;GIU;co_mat_cat_mike
KCHOHOIHUYENSU;2;2|7;GIU;co_mat_cat_mike
KENHCHONGMY;2;9|12;GIU;co_mat_cat_mike
kenhxang;2;8|24;GIU;co_mat_cat_mike
KF;2;3|4;GIU;co_mat_cat_mike
KH8;2;14|15;GIU;co_mat_cat_mike
Lang;2;3|2;GIU;co_mat_cat_mike
Lo Chat Dot;2;2|4;GIU;co_mat_cat_mike
Lo Moi;2;6|3;GIU;co_mat_cat_mike
Long Dieu;2;3|4;GIU;co_mat_cat_mike
Mac Day;2;4|3;GIU;co_mat_cat_mike
Muoi Thuoc;2;4|2;GIU;co_mat_cat_mike
Muong Khai;2;15|2;GIU;co_mat_cat_mike
My Hung;2;23|3;GIU;co_mat_cat_mike
Nam Hang;2;8|5;GIU;co_mat_cat_mike
NDThongLuu;2;3|7;GIU;co_mat_cat_mike
Nhat Tao;2;4|2;GIU;co_mat_cat_mike
NTL 3000;2;2|2;GIU;co_mat_cat_mike
NTL 5000;2;2|2;GIU;co_mat_cat_mike
NTL 7000;2;2|2;GIU;co_mat_cat_mike
NTL 8000;2;3|2;GIU;co_mat_cat_mike
NTL 9000;2;2|2;GIU;co_mat_cat_mike
Phung Thot;2;4|3;GIU;co_mat_cat_mike
PS-CS 1;2;3|5;GIU;co_mat_cat_mike
PTN 3000;2;2|2;GIU;co_mat_cat_mike
PTN 5000;2;3|2;GIU;co_mat_cat_mike
PTN 7000;2;2|3;GIU;co_mat_cat_mike
Quang Dai;2;7|15;GIU;co_mat_cat_mike
Rach Coc;2;2|5;GIU;co_mat_cat_mike
Rach Goc;2;3|3;GIU;co_mat_cat_mike
Sa Rai;2;13|5;GIU;co_mat_cat_mike
Song Trang;2;14|2;GIU;co_mat_cat_mike
STDNgai;2;6|2;GIU;co_mat_cat_mike
Tam Thuoc1;2;2|3;GIU;co_mat_cat_mike
Tan Thanh;2;3|2;GIU;co_mat_cat_mike
