# bief	ten	ch0	ch1	nprof	absc0	absc1
1	BASSAC	0	71252	53	299.0	70557.0
2	BASSAC	71252	192715	104	1000726.0	1120699.0
3	CoChien	0	61160	52	2000626.0	2060589.0
4	CuaCoChien	0	30881	6	3002692.0	3027310.0
5	CuaCungHau	0	28474	6	4003038.0	4026681.0
6	CuaDai	0	39585	33	5000500.0	5037485.0
7	CuaDinhAn	0	33878	7	6003599.0	6031944.0
8	CuaTieu	0	37961	7	7004142.0	7034575.0
9	CuaTranDe	0	34530	32	8000000.0	8034192.0
10	Ham_Luong	0	75388	78	9000500.0	9073000.0
11	Tien	0	32675	7	10000365.0	10029085.0
12	Tien	32675	124961	20	11004137.0	11090627.0
13	Tien	124961	152856	7	12003328.0	12026431.0
14	Tien	152856	189512	8	13001133.0	13035143.0
15	VamNao	0	23473	6	14001335.0	14023090.0
