branch;chainage;type_code;station_label;dfs0
AMAB7;0.0;5;Rach Gia;.\H_boudary_DBNN2024.dfs0
Dong Nai;0.0;0;0.Tri An;.\Q_xa_HT.dfs0
GREATLAKE;224000.0;0;0;
MekongCam;0.0;0;1.Kratie;.\Q_kratie_2011_CVDV.dfs0
Mkampoul_s;0.0;0;;
Stung-Takaev;0.0;0;;
An Binh AG;10866.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Ba Hon;7479.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Ba Lai;43085.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
Bay Hap;49569.0;0;Song Doc ;.\H_boudary_2011.dfs0
Branch1016;16058.0;0;Ganh hao ;.\H_boudary_2011.dfs0
Ca Mau11;10776.0;0;Ganh hao ;.\H_boudary_2011.dfs0
Cai Be;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Cai Lon;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Cai San;60505.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Cau So 2;2980.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Cau So 3;3299.0;0;Rach Gia ;.\H_boudary_2011.dfs0
Cau So 9;10530.0;0;Rach Gia ;.\H_boudary_2011.dfs0
CHUVANG2;0.0;0;Rach Gia ;.\H_boudary_2011.dfs0
CM11;34395.0;0;Song Doc ;.\H_boudary_2011.dfs0
CM42_43;20882.0;0;Song Doc ;.\H_boudary_2011.dfs0
CongNghiep;7094.0;0;Song Doc ;.\H_boudary_2011.dfs0
CuaCoChien;30881.0;0;Ben Trai ;.\H_boudary_2011.dfs0
CuaCungHau;28474.0;0;Ben Trai ;.\H_boudary_2011.dfs0
CuaDai;39585.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
CuaDinhAn;33878.0;0;My Thanh;.\H_boudary_2011.dfs0
CuaTieu;37961.0;0;Vam Kenh ;.\H_boudary_2011.dfs0
CuaTranDe;34530.0;0;My Thanh;.\H_boudary_2011.dfs0
Ganh Hao;50000.0;0;Ganh hao ;.\H_boudary_2011.dfs0
Giang Thanh;24615.0;0;Rach Gia ;.\H_boudary_2011.dfs0
GO12_170;16146.0;0;Ganh hao ;.\H_boudary_2011.dfs0
GO13_33;17483.0;0;Song Doc ;.\H_boudary_2011.dfs0
GO162_163;17072.0;0;Song Doc ;.\H_boudary_2011.dfs0
