id_moi;ten_mike;giu;ly_do;width_m;n_xsec;us_node;ds_node;ch_start;ch_end;co_survey2020;so_doan
1;10500;GIU;co_mat_cat_mike;30;1;14;2812;0;2124;no;1
2;13000;GIU;co_mat_cat_mike;30;1;16;2814;0;2485;no;1
3;14000Nho;GIU;co_mat_cat_mike;30;1;1762;2816;0;3982;no;1
4;15_9 canal;GIU;co_mat_cat_mike;66;9;2660;2421;0;9527;no;1
5;16000;GIU;co_mat_cat_mike;30;1;2817;2294;0;2477;no;1
6;2-9_DOWN;GIU;co_mat_cat_mike;63;4;2422;878;0;11000;no;1
7;3 Cui;GIU;co_mat_cat_mike;20;7;1285;1285;0;19755;no;2
8;30-4;GIU;co_mat_cat_mike;20;5;2396;2396;0;13696;no;2
9;3Thuoc;GIU;co_mat_cat_mike;30;3;1496;2;0;5715;no;1
10;4000;GIU;co_mat_cat_mike;30;3;2098;1745;0;3237;no;1
11;6500_1;GIU;co_mat_cat_mike;30;3;1746;1757;0;3925;no;1
12;6500_2;GIU;co_mat_cat_mike;30;1;1757;1100;0;1716;no;1
13;6500_3;GIU;co_mat_cat_mike;30;2;1100;2809;0;2537;no;1
14;7000_1;GIU;co_mat_cat_mike;30;2;2100;1747;0;2309;no;1
15;7000_2;GIU;co_mat_cat_mike;30;2;1747;1758;0;3923;no;1
16;7000_3;GIU;co_mat_cat_mike;30;2;1758;2809;0;4814;no;1
17;9 Thuoc;GIU;co_mat_cat_mike;54;8;1497;1102;0;13932;no;1
18;9 Thuoc2;GIU;co_mat_cat_mike;50;2;1993;2820;0;6813;no;2
19;9500;GIU;co_mat_cat_mike;30;1;2811;13;0;2004;no;1
20;A Cu;GIU;co_mat_cat_mike;20;5;1158;912;0;6438;no;1
21;A01;GIU;co_mat_cat_mike;52;2;2608;970;0;7414;no;1
22;A02;GIU;co_mat_cat_mike;34;2;2609;972;0;3575;no;1
23;A03;GIU;co_mat_cat_mike;30;2;2599;974;0;6239;no;1
24;A04;GIU;co_mat_cat_mike;47;3;867;160;0;6395;no;1
25;A05;GIU;co_mat_cat_mike;49;2;867;161;0;6248;no;1
26;A06;GIU;co_mat_cat_mike;48;2;868;163;0;7152;no;1
27;A07;GIU;co_mat_cat_mike;64;1;869;24;0;7574;no;1
28;A08;GIU;co_mat_cat_mike;60;3;870;165;0;7167;no;1
29;A09;GIU;co_mat_cat_mike;100;4;872;873;0;18148;no;1
30;A10;GIU;co_mat_cat_mike;47;1;25;166;0;4275;no;1
31;A11;GIU;co_mat_cat_mike;47;1;26;167;0;3515;no;1
32;A12;GIU;co_mat_cat_mike;47;1;27;169;0;4801;no;1
33;A13;GIU;co_mat_cat_mike;47;1;28;170;0;4536;no;1
34;A14;GIU;co_mat_cat_mike;47;3;874;173;0;19435;no;1
35;A15;GIU;co_mat_cat_mike;47;1;29;171;0;6556;no;1
36;A16;GIU;co_mat_cat_mike;41;2;1034;23;0;8129;no;1
37;A17;GIU;co_mat_cat_mike;47;1;31;172;0;8877;no;1
38;A18;GIU;co_mat_cat_mike;47;2;865;32;0;3062;no;1
39;AMAB1;GIU;co_mat_cat_mike;18;4;2191;1587;0;4535;no;1
40;AMAB10;GIU;co_mat_cat_mike;16;4;2209;536;0;3560;no;1
41;AMAB11;GIU;co_mat_cat_mike;13;2;1662;540;0;4362;no;1
42;AMAB12;GIU;co_mat_cat_mike;42;5;1663;541;0;4412;no;1
43;AMAB13;GIU;co_mat_cat_mike;43;6;1635;656;0;5528;no;1
44;AMAB14;GIU;co_mat_cat_mike;9;2;656;1560;0;2694;no;1
45;AMAB15;GIU;co_mat_cat_mike;9;2;1560;1223;0;2680;no;1
46;AMAB16;GIU;co_mat_cat_mike;11;2;655;1559;0;2821;no;1
47;AMAB17;GIU;co_mat_cat_mike;11;2;1559;1223;0;2798;no;1
48;AMAB2;GIU;co_mat_cat_mike;13;2;1587;662;0;7370;no;1
49;AMAB3;GIU;co_mat_cat_mike;50;3;;1593;0;1912;no;1
50;AMAB4;GIU;co_mat_cat_mike;54;4;1593;1865;0;6277;no;1
51;AMAB5;GIU;co_mat_cat_mike;14;2;1865;667;0;1535;no;1
52;AMAB6;GIU;co_mat_cat_mike;59;3;1864;665;0;5305;no;1
53;AMAB7;GIU;co_mat_cat_mike;17;4;;2213;0;5643;no;1
54;AMAB8;GIU;co_mat_cat_mike;19;4;2212;534;0;4317;no;1
55;AMAB9;GIU;co_mat_cat_mike;18;4;2211;535;0;3967;no;1
56;APMYXEOLAXEOGIUA;GIU;co_mat_cat_mike;55;2;2375;127;0;10135;no;1
57;An Binh;GIU;co_mat_cat_mike;31;7;2559;2143;0;31220;no;1
58;An Binh AG;GIU;co_mat_cat_mike;20;4;1898;1898;0;10866;no;2
59;An Phong MH;GIU;co_mat_cat_mike;36;20;2146;186;43200;86000;no;1
60;An Phong MH1;GIU;co_mat_cat_mike;60;4;2562;2146;0;43476;no;1
61;An Tap;GIU;co_mat_cat_mike;20;6;2391;2391;0;22130;no;2
62;B01;GIU;co_mat_cat_mike;42;1;2589;60;0;5262;no;1
63;B02;GIU;co_mat_cat_mike;42;2;968;288;0;2949;no;1
64;B03;GIU;co_mat_cat_mike;42;2;287;285;0;3715;no;1
65;B04;GIU;co_mat_cat_mike;42;6;61;1031;0;21567;no;1
66;B05;GIU;co_mat_cat_mike;55;1;970;62;0;1776;no;1
67;B06;GIU;co_mat_cat_mike;55;1;286;62;0;1177;no;1
68;B07;GIU;co_mat_cat_mike;22;1;971;63;0;2355;no;1
69;B08;GIU;co_mat_cat_mike;22;1;1075;63;0;1685;no;1
70;B09;GIU;co_mat_cat_mike;30;1;972;64;0;3118;no;1
71;B10;GIU;co_mat_cat_mike;53;1;1076;64;0;3270;no;1
72;B11;GIU;co_mat_cat_mike;60;2;257;1095;0;8187;no;1
73;B12;GIU;co_mat_cat_mike;79;4;259;1085;0;18980;no;1
74;B13;GIU;co_mat_cat_mike;52;2;261;78;0;10232;no;1
75;B14;GIU;co_mat_cat_mike;48;5;260;84;0;21056;no;1
76;B15;GIU;co_mat_cat_mike;54;3;69;83;0;18148;no;1
77;B16;GIU;co_mat_cat_mike;69;3;66;1088;0;13073;no;1
78;B17;GIU;co_mat_cat_mike;55;1;77;68;0;3189;no;1
79;B18;GIU;co_mat_cat_mike;60;1;164;167;0;6327;no;1
80;B19;GIU;co_mat_cat_mike;47;2;168;71;0;3500;no;1
81;B20;GIU;co_mat_cat_mike;47;1;169;72;0;2012;no;1
82;B21;GIU;co_mat_cat_mike;48;2;70;71;0;9254;no;1
83;B22;GIU;co_mat_cat_mike;62;2;66;74;0;7550;no;1
84;B23;GIU;co_mat_cat_mike;85;1;75;1099;0;2539;no;1
85;B24;GIU;co_mat_cat_mike;55;3;79;85;0;7669;no;1
86;B25;GIU;co_mat_cat_mike;55;1;81;76;0;10164;no;1
87;B26;GIU;co_mat_cat_mike;55;2;82;87;0;12549;no;1
88;B27;GIU;co_mat_cat_mike;55;9;171;1088;0;20851;no;1
89;B28;GIU;co_mat_cat_mike;38;2;973;1032;0;8495;no;1
90;B29;GIU;co_mat_cat_mike;56;1;80;73;0;3817;no;1
91;B30;GIU;co_mat_cat_mike;56;3;172;1089;0;16103;no;1
92;B31;GIU;co_mat_cat_mike;44;1;86;88;0;815;no;1
93;B32;GIU;co_mat_cat_mike;71;4;289;65;0;5000;no;1
94;B33;GIU;co_mat_cat_mike;71;4;289;89;0;3951;no;1
95;B34;GIU;co_mat_cat_mike;71;4;1098;67;0;7500;no;1
96;BACTRANG;GIU;co_mat_cat_mike;70;4;399;880;0;10628;no;1
97;BASI_CR;GIU;co_mat_cat_mike;187;11;833;2401;0;29236;no;1
98;BASSAC;GIU;co_survey2020;1229;163;;;0;192715;no;1
99;BBCBang;GIU;co_mat_cat_mike;20;3;2645;2835;0;5440;no;1
100;BDSauHy;GIU;co_mat_cat_mike;20;5;2872;2878;0;6211;no;3
101;BONGLOT_CR;GIU;co_mat_cat_mike;78;2;2413;1132;0;13463;no;1
102;BRTaLiem;GIU;co_mat_cat_mike;20;5;175;2865;0;16350;no;2
103;BUNGTRUONG;GIU;co_mat_cat_mike;61;4;2730;2415;0;14866;no;1
104;Ba Ai 1;GIU;co_mat_cat_mike;20;2;1795;1362;0;4856;no;1
105;Ba Cang;GIU;co_mat_cat_mike;36;7;2868;2869;0;18300;no;1
106;Ba Chieu;GIU;co_mat_cat_mike;99;22;116;280;0;21590;no;1
107;Ba Dot;GIU;co_mat_cat_mike;20;2;1105;2070;0;5588;no;1
108;Ba Hoi;GIU;co_mat_cat_mike;20;3;1234;;0;1760;no;1
109;Ba Hon;GIU;co_mat_cat_mike;105;2;2260;;0;7479;no;1
