id_nut;cha_branch;chainage;nhanh_noi_vao
1;14000Nho;927.0;KenhRanhTinh:DS:0
2;14000Nho;1219.0;3Thuoc:DS:0
3;14000Nho;1632.0;RanhTinh:US:0
4;15_9 canal;3490.0;Tapngairiver:US:0
5;15_9 canal;7471.0;Ongxayriver:US:0
6;3 Cui;3303.0;Duong Mon:US:0
7;3 Cui;5326.0;Tram Tre:DS:0
8;3 Cui;6671.0;Huynh Yeu:DS:0
9;3 Cui;7257.0;TC Nhan:DS:0|TC Nhan:US:2
10;3 Cui;12000.0;Nang RenNho:DS:0|Nang RenNho:US:2
11;3 Cui;14066.0;Dong Lon:DS:0
12;30-4;0.0;PL12_13:US:0|Sau ThuocTN:DS:0|NNLon:US:0
13;3Thuoc;1518.0;9500:DS:0
14;3Thuoc;2415.0;10500:US:0
15;3Thuoc;3883.0;XaNo2:US:0
16;3Thuoc;4906.0;13000:US:0
17;3Thuoc;5224.0;XaNo1:US:0
18;4000;1075.0;KinhThay:DS:0
19;6500_1;3462.0;BoDoi:DS:0
20;7000_1;1162.0;KinhThay:US:0
21;7000_3;1780.0;HangXoai:DS:0
22;9 Thuoc;10976.0;9 Thuoc2:DS:0|9 Thuoc2:US:1
23;A04;4790.0;A16:DS:0
24;A06;5860.0;A07:DS:0
25;A09;3750.0;A10:US:0
26;A09;6012.0;A11:US:0
27;A09;7261.0;A12:US:0
28;A09;10307.0;A13:US:0
29;A09;11334.0;A15:US:0
30;A14;11000.0;Song_Tien_01_03:US:0
31;A14;12143.0;A17:US:0
32;A16;7800.0;A18:DS:0
33;AMAB3;0.0;QuocPhong15:US:0|QuocPhong14:DS:0
34;AMAB7;200.0;QuocPhong1:US:0
35;APMYXEOLAXEOGIUA;3839.0;Bong Binh1:US:0
36;APMYXEOLAXEOGIUA;5637.0;Cai Da:DS:0|Cai Da:US:1
37;An Binh;2500.0;K2-9:US:2|K2-9:DS:3
38;An Binh;7100.0;Khang Chien:US:1|Khang Chien:DS:2
39;An Binh;9000.0;Binh Thanh:US:0|Binh Thanh:DS:1
40;An Binh;11300.0;Phu Thanh:US:1|Phu Thanh:DS:2
41;An Binh;16000.0;Tan Cong Chi:US:1|Tan Cong Chi:DS:2
42;An Binh;21500.0;Phu Duc:US:1|Phu Duc:DS:2
43;An Binh;26600.0;Tan Cong Sinh:US:1|Tan Cong Sinh:DS:2
44;An Binh AG;5000.0;Cau Tre:DS:0
45;An Phong MH;55000.0;Bui Moi:US:0|Bui Moi:DS:1
46;An Phong MH;58100.0;Bang Lang:US:0|Bang Lang:DS:1
47;An Phong MH;62095.0;Phung Thot:US:0|Phung Thot:DS:1
48;An Phong MH;66900.0;Ca Nhip:US:0|Ca Nhip:DS:1
49;An Phong MH;71300.0;K12:US:0|K12:DS:1
