nhanh;vung;cap_bfs
10500;5_OMonXaNo;1
13000;5_OMonXaNo;1
14000Nho;5_OMonXaNo;1
15_9 canal;4_NamMangThit;2
16000;5_OMonXaNo;1
2-9_DOWN;4_NamMangThit;2
3 Cui;6_QLPH_LongPhu;1
30-4;6_QLPH_LongPhu;3
3Thuoc;5_OMonXaNo;1
4000;5_OMonXaNo;1
6500_1;5_OMonXaNo;2
6500_2;7_CaiLon_BCM;2
6500_3;5_OMonXaNo;1
7000_1;5_OMonXaNo;1
7000_2;5_OMonXaNo;2
7000_3;5_OMonXaNo;1
9 Thuoc;5_OMonXaNo;2
9 Thuoc2;5_OMonXaNo;1
9500;5_OMonXaNo;1
A Cu;6_QLPH_LongPhu;2
A01;7_CaiLon_BCM;2
A02;7_CaiLon_BCM;2
A03;7_CaiLon_BCM;2
A04;3_CuLaoTien;1
A05;3_CuLaoTien;1
A06;3_CuLaoTien;1
A07;3_CuLaoTien;2
A08;3_CuLaoTien;1
A09;3_CuLaoTien;2
A10;3_CuLaoTien;1
A11;3_CuLaoTien;1
A12;3_CuLaoTien;1
A13;3_CuLaoTien;1
A14;3_CuLaoTien;1
A15;3_CuLaoTien;1
A16;3_CuLaoTien;2
A17;3_CuLaoTien;1
A18;3_CuLaoTien;3
AMAB1;1_TGLX;4
AMAB10;7_CaiLon_BCM;1
AMAB11;7_CaiLon_BCM;1
AMAB12;7_CaiLon_BCM;1
AMAB13;1_TGLX;2
AMAB14;1_TGLX;2
AMAB15;7_CaiLon_BCM;2
AMAB16;1_TGLX;2
AMAB17;7_CaiLon_BCM;2
AMAB2;1_TGLX;2
AMAB3;1_TGLX;4
AMAB4;1_TGLX;4
AMAB5;1_TGLX;2
AMAB6;1_TGLX;2
AMAB7;1_TGLX;3
AMAB8;7_CaiLon_BCM;1
AMAB9;7_CaiLon_BCM;1
APMYXEOLAXEOGIUA;5_OMonXaNo;3
An Binh;2_DTM;1
An Binh AG;1_TGLX;2
An Phong MH;2_DTM;1
An Phong MH1;2_DTM;1
An Tap;1_TGLX;2
B01;7_CaiLon_BCM;2
B02;7_CaiLon_BCM;1
B03;7_CaiLon_BCM;1
B04;3_CuLaoTien;2
B05;7_CaiLon_BCM;2
B06;7_CaiLon_BCM;1
B07;7_CaiLon_BCM;2
B08;3_CuLaoTien;3
B09;7_CaiLon_BCM;2
B10;3_CuLaoTien;3
B11;3_CuLaoTien;2
B12;3_CuLaoTien;2
B13;3_CuLaoTien;2
B14;3_CuLaoTien;2
B15;3_CuLaoTien;3
B16;3_CuLaoTien;3
B17;3_CuLaoTien;2
B18;3_CuLaoTien;1
B19;3_CuLaoTien;1
B20;3_CuLaoTien;1
B21;3_CuLaoTien;3
B22;3_CuLaoTien;3
B23;3_CuLaoTien;4
B24;3_CuLaoTien;2
B25;3_CuLaoTien;3
B26;3_CuLaoTien;2
B27;3_CuLaoTien;1
B28;3_CuLaoTien;2
B29;3_CuLaoTien;4
B30;3_CuLaoTien;1
B31;3_CuLaoTien;2
B32;7_CaiLon_BCM;1
B33;7_CaiLon_BCM;1
B34;7_CaiLon_BCM;2
BACTRANG;4_NamMangThit;3
BASI_CR;4_NamMangThit;2
BASSAC;0_TRUC;0
BBCBang;1_TGLX;2
BDSauHy;6_QLPH_LongPhu;2
BONGLOT_CR;4_NamMangThit;2
BRTaLiem;6_QLPH_LongPhu;2
BUNGTRUONG;4_NamMangThit;2
Ba Ai 1;6_QLPH_LongPhu;2
Ba Cang;7_CaiLon_BCM;3
Ba Chieu;1_TGLX;2
