tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
ChauDoc;2011-10-01 00:00:00;0.0;1;74;-18.895;7.0;10000.0;0.11177;1.468;25.895;10000.0
CanTho;2011-10-01 00:00:00;0.0;2;279;-26.9112;5.0;10000.0;0.03287;0.4692;31.911;10000.0
TanChau;2011-10-01 00:00:00;0.0;11;979;-32.2556;9.0;10000.0;0.02986;0.478;41.256;10000.0
MyThuan;2011-10-01 00:00:00;0.0;12;1171;-25.7667;7.0;10000.0;0.03095;0.4713;32.767;10000.0
VamNao;2011-10-01 00:00:00;0.0;15;1318;-21.7944;7.0;10000.0;0.07868;1.0508;28.794;10000.0
ChauDoc;2011-10-01 01:00:00;3600.0;1;74;-18.895;6.033;5535.333;0.06735;0.8599;24.928;5535.333
CanTho;2011-10-01 01:00:00;3600.0;2;279;-26.9112;4.662;12538.908;0.04215;0.598;31.574;12538.908
TanChau;2011-10-01 01:00:00;3600.0;11;979;-32.2556;7.875;34565.879;0.11025;1.7267;40.131;34565.879
MyThuan;2011-10-01 01:00:00;3600.0;12;1171;-25.7667;5.307;28608.885;0.09866;1.452;31.074;28608.885
VamNao;2011-10-01 01:00:00;3600.0;15;1318;-21.7944;7.331;19480.678;0.14919;2.0105;29.125;19480.678
ChauDoc;2011-10-01 02:00:00;7200.0;1;74;-18.895;7.426;5512.011;0.05944;0.79;26.321;5512.011
CanTho;2011-10-01 02:00:00;7200.0;2;279;-26.9112;4.479;30070.617;0.10235;1.447;31.39;30070.617
TanChau;2011-10-01 02:00:00;7200.0;11;979;-32.2556;7.384;25957.969;0.0849;1.3223;39.64;25957.969
MyThuan;2011-10-01 02:00:00;7200.0;12;1171;-25.7667;4.406;35993.965;0.13174;1.9047;30.173;35993.965
VamNao;2011-10-01 02:00:00;7200.0;15;1318;-21.7944;6.727;15937.176;0.12828;1.7002;28.522;15937.176
ChauDoc;2011-10-01 03:00:00;10800.0;1;74;-18.895;7.31;8080.594;0.08799;1.1657;26.205;8080.594
CanTho;2011-10-01 03:00:00;10800.0;2;279;-26.9112;4.265;28054.941;0.09689;1.3643;31.176;28054.941
TanChau;2011-10-01 03:00:00;10800.0;11;979;-32.2556;6.708;27331.553;0.09239;1.4308;38.963;27331.553
MyThuan;2011-10-01 03:00:00;10800.0;12;1171;-25.7667;3.578;35791.828;0.13877;1.9704;29.345;35791.828
VamNao;2011-10-01 03:00:00;10800.0;15;1318;-21.7944;6.421;10043.565;0.08296;1.0901;28.216;10043.565
ChauDoc;2011-10-01 04:00:00;14400.0;1;74;-18.895;6.645;9136.727;0.10529;1.3689;25.54;9136.727
CanTho;2011-10-01 04:00:00;14400.0;2;279;-26.9112;4.029;26166.246;0.09185;1.2875;30.94;26166.246
TanChau;2011-10-01 04:00:00;14400.0;11;979;-32.2556;6.356;26620.039;0.09159;1.414;38.611;26620.039
MyThuan;2011-10-01 04:00:00;14400.0;12;1171;-25.7667;3.013;32238.682;0.1302;1.825;28.78;32238.682
VamNao;2011-10-01 04:00:00;14400.0;15;1318;-21.7944;5.825;8081.51;0.07029;0.9079;27.62;8081.51
ChauDoc;2011-10-01 05:00:00;18000.0;1;74;-18.895;6.163;9047.547;0.1088;1.3946;25.058;9047.547
CanTho;2011-10-01 05:00:00;18000.0;2;279;-26.9112;4.027;22746.943;0.07986;1.1194;30.938;22746.943
