tram;thoi_gian;t_s;bief;sec;ZREF;Z;QMIN;FR;VMIN;Y;Q
ChauDoc;2011-10-01 00:00:00;0.0;3;62;-18.895;5.75;10000.0;0.12485;1.5804;24.645;10000.0
CanTho;2011-10-01 00:00:00;0.0;6;269;-26.9112;4.65;10000.0;0.03365;0.4772;31.561;10000.0
TanChau;2011-10-01 00:00:00;0.0;29;1126;-32.2556;5.75;10000.0;0.03549;0.5449;38.006;10000.0
MyThuan;2011-10-01 00:00:00;0.0;32;1305;-25.7667;4.1;10000.0;0.03738;0.5369;29.867;10000.0
VamNao;2011-10-01 00:00:00;0.0;47;1510;-21.7944;5.2;10000.0;0.092;1.1663;26.994;10000.0
ChauDoc;2011-10-01 01:00:00;3600.0;3;62;-18.895;5.759;3845.133;0.04796;0.6073;24.654;3845.133
CanTho;2011-10-01 01:00:00;3600.0;6;269;-26.9112;4.261;18778.701;0.06487;0.9134;31.172;18778.701
TanChau;2011-10-01 01:00:00;3600.0;29;1126;-32.2556;5.567;21053.207;0.07553;1.1559;37.823;21053.207
MyThuan;2011-10-01 01:00:00;3600.0;32;1305;-25.7667;3.6;11955.424;0.04628;0.6575;29.366;11955.424
VamNao;2011-10-01 01:00:00;3600.0;47;1510;-21.7944;5.406;3158.529;0.02852;0.3638;27.2;3158.529
ChauDoc;2011-10-01 02:00:00;7200.0;3;62;-18.895;6.002;6604.909;0.08059;1.0279;24.897;6604.909
CanTho;2011-10-01 02:00:00;7200.0;6;269;-26.9112;3.724;20400.484;0.07316;1.0194;30.635;20400.484
TanChau;2011-10-01 02:00:00;7200.0;29;1126;-32.2556;5.873;25910.043;0.09137;1.4044;38.128;25910.043
MyThuan;2011-10-01 02:00:00;7200.0;32;1305;-25.7667;3.282;18311.277;0.07252;1.0228;29.049;18311.277
VamNao;2011-10-01 02:00:00;7200.0;47;1510;-21.7944;5.46;7204.185;0.06473;0.8271;27.254;7204.185
ChauDoc;2011-10-01 03:00:00;10800.0;3;62;-18.895;6.275;7448.309;0.08868;1.1404;25.17;7448.309
CanTho;2011-10-01 03:00:00;10800.0;6;269;-26.9112;3.181;19541.631;0.07286;1.0041;30.093;19541.631
