# bief	ten	ch0	ch1	nprof	absc0	absc1
1	BASSAC	0	25223	6	299.0	23782.0
2	BASSAC	25223	34098	2	1004060.0	1008875.0
3	BASSAC	34098	71252	8	2001452.0	2035513.0
4	BASSAC	71252	104208	7	3001908.0	3032956.0
5	BASSAC	104208	125064	5	4000000.0	4020856.0
6	BASSAC	125064	155039	8	5000000.0	5029975.0
7	BASSAC	155039	185244	6	6000000.0	6026116.0
8	BASSAC	185244	192715	2	7001553.0	7006557.0
9	CaiBe_TG	0	5360	2	8000786.0	8005360.0
10	CaiBe_TG	5360	11644	2	9000000.0	9005536.0
11	CoChien	0	61160	13	10000915.0	10060027.0
12	CuaCoChien	0	30881	6	11002692.0	11027310.0
13	CuaCungHau	0	28474	6	12003038.0	12026681.0
14	CuaDai	0	9733	2	13004225.0	13009733.0
15	CuaDai	9733	39585	6	14000000.0	14025188.0
16	CuaDai_1	0	7155	2	15001159.0	15007155.0
17	CuaDinhAn	0	33878	7	16003599.0	16031944.0
18	CuaTieu	0	2975	2	17000000.0	17002975.0
19	CuaTieu	2975	37961	7	18001167.0	18031600.0
20	CuaTranDe	0	34530	9	19000000.0	19034192.0
21	Ham_Luong	0	75388	33	20001578.0	20071945.0
22	Hau_1	0	8658	2	21000213.0	21008346.0
23	Hau_4	0	18255	4	22004030.0	22018255.0
24	Hau_7	0	13779	2	23003758.0	23008830.0
25	Hau_7	13779	24543	2	24001608.0	24007622.0
26	Hau_7	24543	30435	2	25001960.0	25005892.0
27	Hau_8	0	11218	3	26001646.0	26010127.0
28	NamThon	0	16755	3	27000000.0	27015452.0
29	Tien	0	16880	4	28000365.0	28014576.0
30	Tien	16880	26016	2	29005307.0	29009136.0
31	Tien	26016	32675	2	30000000.0	30003069.0
32	Tien	32675	124961	20	31004137.0	31090627.0
33	Tien	124961	137113	2	32003328.0	32010182.0
34	Tien	137113	149417	4	33000574.0	33012304.0
35	Tien	149417	152856	2	34000000.0	34001975.0
36	Tien	152856	160793	2	35001133.0	35006803.0
37	Tien	160793	170109	2	36000000.0	36005694.0
38	Tien	170109	177828	2	37001304.0	37006192.0
39	Tien	177828	179903	2	38000000.0	38002070.0
40	Tien	179903	181868	2	39000000.0	39001965.0
41	Tien	181868	189512	2	40002118.0	40006131.0
42	Tien_2	0	23218	2	41001200.0	41022198.0
43	Tien_3	0	11965	3	42004710.0	42011965.0
44	Tien_7	0	4048	2	43001594.0	43004048.0
45	Tien_9	0	9773	2	44002568.0	44007331.0
46	VamNao	0	1335	2	45000000.0	45001335.0
47	VamNao	1335	23473	6	46000000.0	46021755.0
